case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir
C001,IndependentCurve,proto_sw_1_1,expanded,simple,1,100013,1,,,4,0,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.05320869999923161,raw_cases/C001/methods/IndependentCurve
C001,FixedSlot,proto_sw_1_1,expanded,simple,1,100013,1,,,4,1,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,1.9966993000016373,raw_cases/C001/methods/FixedSlot
C001,LocalGreedy,proto_sw_1_1,expanded,simple,1,100013,1,,,4,2,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.03493309999976191,raw_cases/C001/methods/LocalGreedy
C001,Ours,proto_sw_1_1,expanded,simple,1,100013,1,,,4,1,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.032245499998680316,raw_cases/C001/methods/Ours
