figure_panel,case_id,selection_metric,case_difference,paired_median_difference,IndependentCurve_png,FixedSlot_png,Ours_png,LocalGreedy_png
7a,C050,Ours-FixedSlot root_coverage_qcov,0.06101354399999992,0.061156667,raw_cases/C050/methods/IndependentCurve/formal_triple.png,raw_cases/C050/methods/FixedSlot/formal_triple.png,raw_cases/C050/methods/Ours/formal_triple.png,
7b,C083,LocalGreedy-Ours parallel_cotravel_peak,0.09548337434030438,0.09441072343675577,,,raw_cases/C083/methods/Ours/formal_triple.png,raw_cases/C083/methods/LocalGreedy/formal_triple.png
