case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,l1_generation_success,unit_generation_applicable,unit_generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error,l2_unit_ratio,mechanically_legal
C003,LocalGreedy,proto_sw_1_1,expanded,medium,1,100006,1,1,1,1,,,5,2,5,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2,4077c4607a22cbae43cfdf706263214483ad5006a9e93f29ccb9b014608a7038,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,0.04471980000016629,raw_cases/C003/methods/LocalGreedy,1,0,0,0,0,0,0.11987486165209461,0.027768053,0,0,0.0,1.0,0,0.24285082705514413,0.17219224691155674,0,0,0.12419051683163207,0.3371639715813388,0.16500188062420437,5,2,5,1.2952946706503008,0.18504209580718584,0.07161332461694403,0.871694409,0.01762952302631579,0.4,0.6,0.8,0.0,0.2,0.387900031,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.151515151,0.15151515100000001,0.15151515200000001,0.45454545500000004,0.5454545449999999,0.2,,0.19999999999999996,1.0
C003,Ours,proto_sw_1_1,expanded,medium,1,100006,1,1,1,1,,,5,1,5,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2,4077c4607a22cbae43cfdf706263214483ad5006a9e93f29ccb9b014608a7038,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b,0.05035390000193729,raw_cases/C003/methods/Ours,1,0,0,0,0,0,0.12410516624979502,0.027768053,0,0,0.0,1.0,0,0.0021920051168974166,0.0014701083822120974,0,0,0.12419051683163207,0.3371639715813388,0.16500188062420437,5,1,5,1.1583139380471337,0.1930523230078556,0.07270852822156988,0.871694409,0.017623812134502925,0.4,0.6,0.8,0.2,0.0,0.387900031,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.151515151,0.15151515100000001,0.15151515200000001,0.45454545500000004,0.5454545449999999,0.2,,0.19999999999999996,1.0
C004,IndependentCurve,proto_sw_1_1,expanded,medium,2,100010,1,1,0,0,,,5,0,5,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium,,,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__baseline_independentcurve,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__baseline_independentcurve__selection,0.06389810000109719,raw_cases/C004/methods/IndependentCurve,1,0,3,0,0,0,0.0,0.027768053,1,0,0.0,1.0000000000000002,0,0.0,0.0,3,0,0.0,0.923244675762293,0.4755549774269336,5,0,5,1.3191952268984468,0.2638390453796894,0.09824043985820279,0.451400906,0.017949332967836257,0.8,0.2,1.0,0.0,0.0,0.406947772,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.03030303099999998,0.12121212099999999,0.12121212100000003,0.696969697,0.303030303,0.4,,0.0,0.0
C004,FixedSlot,proto_sw_1_1,expanded,medium,2,100010,1,1,1,1,,,5,1,5,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium,,,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__baseline_fixedslot,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,4.670324599999731,raw_cases/C004/methods/FixedSlot,1,0,0,0,0,0,0.0845591889998424,0.027768053,0,0,0.0,1.0000000000000002,0,1.3806050346132584e-06,1.0398315033743407e-06,0,0,0.08450637754691653,1.632256929989877,0.6151185426128176,5,1,5,1.9221369153889023,0.32035615256481703,0.14693948135078377,1.08354716,0.022763614766081873,0.4,0.6,0.8,0.2,0.0,0.406947772,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.06955880900000003,0.08878680799999998,0.23587621999999997,0.54537378,0.45462621999999997,0.4,,0.19999999999999996,1.0
C004,LocalGreedy,proto_sw_1_1,expanded,medium,2,100010,1,1,1,1,,,5,2,5,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2,f7b369bcc4ede1d054c2a161a0cb6ec4377cc83570bd33af98182274283e30bb,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,0.05972429999746964,raw_cases/C004/methods/LocalGreedy,1,0,0,0,0,0,0.14860873469071043,0.027768053,0,0,0.0,1.0000000000000002,0,0.007425106912166651,0.004066070372189689,0,0,0.1485903337871238,0.31924807922424137,0.2041660809239474,5,2,5,1.299389648016849,0.18562709257383556,0.06544858572447525,0.87190104,0.01845189144736842,0.4,0.6,0.8,0.0,0.2,0.406947772,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.15151515100000001,0.15151515100000001,0.151515152,0.454545455,0.545454545,0.4,,0.19999999999999996,1.0
C004,Ours,proto_sw_1_1,expanded,medium,2,100010,1,1,1,1,,,5,1,5,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2,f7b369bcc4ede1d054c2a161a0cb6ec4377cc83570bd33af98182274283e30bb,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b,0.04169999999794527,raw_cases/C004/methods/Ours,1,0,0,0,0,0,0.14860873469071043,0.027768053,0,0,0.0,1.0000000000000002,0,0.01599365087278249,0.011194709675082057,0,0,0.1485903337871238,0.31924807922424137,0.2041660809239474,5,1,5,1.1592489493606082,0.19320815822676804,0.07797229082797875,0.877292113,0.01812637061403509,0.4,0.6,0.8,0.2,0.0,0.406947772,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.15151515100000001,0.15151515100000001,0.151515152,0.454545455,0.545454545,0.4,,0.19999999999999996,1.0
C005,IndependentCurve,proto_sw_1_1,expanded,rich,1,100018,1,1,0,0,,,6,0,6,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich,,,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__baseline_independentcurve,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__baseline_independentcurve__selection,0.0566672999993898,raw_cases/C005/methods/IndependentCurve,1,0,1,0,0,0,0.0,0.027768053,1,0,0.0,1.0000000000000002,0,0.0,0.0,1,0,0.0,1.167525908804989,0.5267873799636587,6,0,6,1.5770657632666618,0.26284429387777697,0.08617397612872864,1.0191624989999999,0.023254751461988302,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.815414926,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.075757576,0.13636363599999998,0.21969696925,0.39393939400000005,0.606060606,0.3333333333333333,,0.0,0.0
C005,FixedSlot,proto_sw_1_1,expanded,rich,1,100018,1,1,1,1,,,6,1,6,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich,,,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__baseline_fixedslot,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,4.405946299997595,raw_cases/C005/methods/FixedSlot,1,0,0,0,0,0,0.055780415106408514,0.027768053,0,0,0.0,1.0000000000000002,0,0.007166078843489115,0.004034301094461169,0,0,0.055780415106408514,2.954427017857437,0.8487689134826475,6,1,6,2.1975802733125906,0.3139400390446558,0.15769797161666266,1.144049936,0.02355171783625731,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,0.815414926,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0770509395,0.09375,0.18590375474999996,0.461893741,0.538106259,0.3333333333333333,,0.16666666666666663,1.0
C005,LocalGreedy,proto_sw_1_1,expanded,rich,1,100018,1,1,1,1,,,6,2,6,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__unit_candidates_v2,1c7ee8fb2524af01d92c3efb28a84ee2157d8d0e2393722e7f85aff6f275d06f,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,0.0527542000018002,raw_cases/C005/methods/LocalGreedy,1,0,0,0,0,0,0.03107526214622732,0.027768053,0,0,0.0,1.0000000000000002,0,0.05743500718265772,0.05641555325005509,0,0,0.05046528696336143,0.7786997376564103,0.2546672605285808,6,2,6,1.6322977755740922,0.20403722194676152,0.08019872048225955,0.91417416,0.021273072002923978,0.5,0.5,0.8333333333333334,0.0,0.16666666666666666,0.815414926,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.09848484874999999,0.1363636365,0.15151515175,0.39393939400000005,0.606060606,0.16666666666666666,,0.16666666666666663,1.0
C005,Ours,proto_sw_1_1,expanded,rich,1,100018,1,1,1,1,,,6,1,6,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__unit_candidates_v2,1c7ee8fb2524af01d92c3efb28a84ee2157d8d0e2393722e7f85aff6f275d06f,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b,0.04293540000071516,raw_cases/C005/methods/Ours,1,0,0,0,0,0,0.05046528696336143,0.027768053,0,0,0.0,1.0000000000000002,0,0.005416901398468663,0.004601707151065404,0,0,0.05046528696336143,0.7786997376564103,0.2546672605285808,6,1,6,1.691014556402912,0.24157350805755887,0.09520040270375041,0.91417416,0.01971970942982456,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.815414926,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.09848484874999999,0.1363636365,0.15151515175,0.39393939400000005,0.606060606,0.16666666666666666,,0.16666666666666663,1.0
C006,IndependentCurve,proto_sw_1_1,expanded,rich,2,100019,1,1,0,0,,,6,0,6,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich,,,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__baseline_independentcurve,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__baseline_independentcurve__selection,0.06010199999946053,raw_cases/C006/methods/IndependentCurve,1,0,4,0,0,0,0.0,0.027768053,1,0,0.0,1.0,0,0.0,0.0,4,0,0.0,2.633207654303218,0.9683902662758666,6,0,6,1.5748847723246626,0.2624807953874438,0.08599813679219115,0.342281612,0.015567891081871345,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.669044189,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.03030303025000001,0.060606060999999996,0.1590909085,0.666666667,0.333333333,0.6666666666666666,,0.0,0.0
C006,FixedSlot,proto_sw_1_1,expanded,rich,2,100019,1,1,1,1,,,6,1,6,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich,,,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__baseline_fixedslot,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,7.366709199999605,raw_cases/C006/methods/FixedSlot,1,0,0,0,0,0,0.07175892866207831,0.027768053,0,0,0.0,1.0,0,0.0009505283568581053,0.0004019789215993213,0,0,0.0717603412377016,2.500096728090501,0.8614757646050292,6,1,6,2.1830297322815246,0.3118613903259321,0.13088030171459922,1.108958392,0.02549342105263158,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.669044189,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08468869199999998,0.116923386,0.18470563425000003,0.430743051,0.569256949,0.16666666666666666,,0.16666666666666663,1.0
C006,LocalGreedy,proto_sw_1_1,expanded,rich,2,100019,1,1,1,1,,,6,1,6,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2,86408348160478d704d1a213bc973047e735feb68907a59d1270119a6d0e8ba6,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,0.049058900000090944,raw_cases/C006/methods/LocalGreedy,1,0,0,0,0,0,0.06509633687220658,0.027768053,0,0,0.0,1.0,0,0.019357824526995807,0.011061139861520445,0,0,0.06524883777282833,0.7061082536427034,0.23330200829012995,6,1,6,1.3692307609181817,0.1956043944168831,0.06273346305198342,0.749400053,0.015390853435672515,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.669044189,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0984848485,0.121212121,0.1439393935,0.42424242500000003,0.5757575749999999,0.16666666666666666,,0.16666666666666663,1.0
C006,Ours,proto_sw_1_1,expanded,rich,2,100019,1,1,1,1,,,6,1,6,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2,86408348160478d704d1a213bc973047e735feb68907a59d1270119a6d0e8ba6,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b,0.04412410000077216,raw_cases/C006/methods/Ours,1,0,0,0,0,0,0.06509633687220658,0.027768053,0,0,0.0,1.0,0,0.0015403464751268753,0.000760550143088989,0,0,0.06524883777282833,0.7061082536427034,0.23330200829012995,6,1,6,1.4312641614986068,0.20446630878551525,0.0726903206174082,0.7757341179999999,0.017343978435672515,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.669044189,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0984848485,0.121212121,0.1439393935,0.42424242500000003,0.5757575749999999,0.16666666666666666,,0.16666666666666663,1.0
