case_id,prototype_id,backbone_variant,density_level,lane_count,different_parent_lane_state_count,different_parent_lane_state_ratio,local_selection_id,ours_selection_id
C043,proto_sw_2_3,compact,simple,6,2,0.3333333333333333,proto_sw_2_3__seed_1160715944__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_1160715944__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C044,proto_sw_2_3,compact,simple,6,4,0.6666666666666666,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C045,proto_sw_2_3,compact,medium,6,4,0.6666666666666666,proto_sw_2_3__seed_3906224916__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_3906224916__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C046,proto_sw_2_3,compact,medium,6,2,0.3333333333333333,proto_sw_2_3__seed_1575422959__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_1575422959__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C047,proto_sw_2_3,compact,rich,6,3,0.5,proto_sw_2_3__seed_3322687601__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_3322687601__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C048,proto_sw_2_3,compact,rich,6,4,0.6666666666666666,proto_sw_2_3__seed_279600048__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_279600048__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C049,proto_sw_2_3,swept,simple,6,3,0.5,proto_sw_2_3__seed_1105195513__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_1105195513__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C050,proto_sw_2_3,swept,simple,5,3,0.6,proto_sw_2_3__seed_1900972879__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_1900972879__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C051,proto_sw_2_3,swept,medium,6,2,0.3333333333333333,proto_sw_2_3__seed_302128940__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_302128940__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C052,proto_sw_2_3,swept,medium,6,2,0.3333333333333333,proto_sw_2_3__seed_548579369__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_548579369__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C053,proto_sw_2_3,swept,rich,6,3,0.5,proto_sw_2_3__seed_3756345937__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_3756345937__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C054,proto_sw_2_3,swept,rich,6,4,0.6666666666666666,proto_sw_2_3__seed_399132903__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_2_3__seed_399132903__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C055,proto_sw_3_1,expanded,simple,6,2,0.3333333333333333,proto_sw_3_1__seed_1548718105__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_1548718105__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C056,proto_sw_3_1,expanded,simple,5,1,0.2,proto_sw_3_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C057,proto_sw_3_1,expanded,medium,6,2,0.3333333333333333,proto_sw_3_1__seed_1160715944__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_1160715944__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C058,proto_sw_3_1,expanded,medium,6,2,0.3333333333333333,proto_sw_3_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
