scope_type,scope_value,planned_count,generation_success_count,generation_success_rate,generation_success_wilson95_low,generation_success_wilson95_high,mechanically_evaluated_count,mechanically_legal_case_count,mechanically_legal_case_rate,mechanically_legal_wilson95_low,mechanically_legal_wilson95_high,internal_unit_crossing_count.event_count,internal_unit_crossing_count.case_count,internal_unit_crossing_count.case_rate,cross_unit_crossing_count.event_count,cross_unit_crossing_count.case_count,cross_unit_crossing_count.case_rate,ordinary_backbone_nonroot_crossing_count.event_count,ordinary_backbone_nonroot_crossing_count.case_count,ordinary_backbone_nonroot_crossing_count.case_rate,ordinary_support_crossing_count.event_count,ordinary_support_crossing_count.case_count,ordinary_support_crossing_count.case_rate,periodic_crossing_count.event_count,periodic_crossing_count.case_count,periodic_crossing_count.case_rate,clearance_violation_count.event_count,clearance_violation_count.case_count,clearance_violation_count.case_rate,flower_region_intrusion_curve_count.event_count,flower_region_intrusion_curve_count.case_count,flower_region_intrusion_curve_count.case_rate,periodic_seam_violation_count.event_count,periodic_seam_violation_count.case_count,periodic_seam_violation_count.case_rate,l1_count.mean,l1_count.median,l1_count.minimum,l1_count.maximum,l2_count.mean,l2_count.median,l2_count.minimum,l2_count.maximum,branchunit_count_evaluated.mean,branchunit_count_evaluated.median,branchunit_count_evaluated.minimum,branchunit_count_evaluated.maximum,ordinary_total_length.mean,ordinary_total_length.median,ordinary_total_length.minimum,ordinary_total_length.maximum,vertical_span.mean,vertical_span.median,vertical_span.minimum,vertical_span.maximum,occupied_area_ratio.mean,occupied_area_ratio.median,occupied_area_ratio.minimum,occupied_area_ratio.maximum,total_runtime_seconds.mean,total_runtime_seconds.median,total_runtime_seconds.minimum,total_runtime_seconds.maximum,l1_candidate_count.mean,l1_candidate_count.median,l1_candidate_count.minimum,l1_candidate_count.maximum,branchunit_candidate_count.mean,branchunit_candidate_count.median,branchunit_candidate_count.minimum,branchunit_candidate_count.maximum,search_node_count.mean,search_node_count.median,search_node_count.minimum,search_node_count.maximum
overall,all,450,450,1.0,0.9915356811370294,1.0,450,436,0.9688888888888889,0.94846122691416,0.9813789007298986,7,6,0.013333333333333334,0,0,0.0,2,2,0.0044444444444444444,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.013333333333333334,0,0,0.0,5.588888888888889,6.0,4.0,7.0,1.6955555555555555,2.0,1.0,5.0,5.588888888888889,6.0,4.0,7.0,1.3833687906309062,1.3849120225265636,0.7783255265462775,2.1329132766982575,0.69907092186,0.7074672664999999,0.23693643400000008,1.235123647,0.022512881233755683,0.02255516721491228,0.010782163742690058,0.03485357273391813,29.917977185333278,24.849237899999935,10.206928999999946,88.6399394,1393.9933333333333,1352.5,813.0,2253.0,150.44222222222223,150.0,100.0,238.0,1291.6066666666666,361.0,41.0,88429.0
prototype_id,proto_sw_1_1,90,90,1.0,0.9590643744356734,1.0,90,89,0.9888888888888889,0.9397159168824657,0.9980359158990818,0,0,0.0,0,0,0.0,1,1,0.011111111111111112,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5.011111111111111,5.0,4.0,6.0,1.5222222222222221,1.0,1.0,3.0,5.011111111111111,5.0,4.0,6.0,1.2720816564441986,1.2422940253674777,0.9771901051013716,1.7106071073425764,0.9662499948888889,0.9768632995,0.5736034369999999,1.235123647,0.01707651833576998,0.016670093201754388,0.010782163742690058,0.026715551900584795,13.701141282222105,13.417002399997727,10.206928999999946,18.91893390000041,1020.8333333333334,1009.5,952.0,1125.0,125.27777777777777,125.0,100.0,150.0,660.9777777777778,236.5,41.0,12734.0
prototype_id,proto_sw_1_3,90,90,1.0,0.9590643744356734,1.0,90,90,1.0,0.9590643744356734,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5.133333333333334,5.0,4.0,6.0,1.488888888888889,1.0,1.0,3.0,5.133333333333334,5.0,4.0,6.0,1.1610717516516869,1.167729125734576,0.7783255265462775,1.4996506124828013,0.7841742501111111,0.791065351,0.38431583399999997,1.0406345689999998,0.019380292093079923,0.019399899488304093,0.01316360562865497,0.025521975511695907,30.011350416666595,30.395985450000808,15.455746999999974,65.29120989999865,951.9333333333333,868.0,813.0,1336.0,128.33333333333334,125.0,100.0,150.0,443.31111111111113,203.5,52.0,2826.0
prototype_id,proto_sw_2_3,90,90,1.0,0.9590643744356734,1.0,90,84,0.9333333333333333,0.8620990522567448,0.9690900722541721,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.06666666666666667,0,0,0.0,5.955555555555556,6.0,5.0,7.0,1.8555555555555556,2.0,1.0,5.0,5.955555555555556,6.0,5.0,7.0,1.3197351232010053,1.3070130561945916,0.9632447605122002,1.7168197216666354,0.4183270013777778,0.41579656500000006,0.23693643400000008,0.617450831,0.021792445886127356,0.02194410179093567,0.013728983918128655,0.028857136330409358,27.329992988888748,27.0200760000007,22.766469999998662,35.951832799997646,1460.4,1476.0,1404.0,1512.0,202.48888888888888,204.0,170.0,238.0,3229.3888888888887,676.0,74.0,88429.0
prototype_id,proto_sw_3_1,90,90,1.0,0.9590643744356734,1.0,90,88,0.9777777777777777,0.9225547331137463,0.9938845580136748,2,2,0.022222222222222223,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5.8,6.0,5.0,7.0,1.7666666666666666,2.0,1.0,3.0,5.8,6.0,5.0,7.0,1.5776041382653245,1.5583950071655353,1.1355494617503052,2.1329132766982575,0.7283997131333333,0.7309605809999999,0.517416322,0.945329909,0.026433814571150096,0.02603881122076023,0.018994426169590642,0.03485357273391813,18.09335140444451,17.92054670000107,12.051872800002457,26.363691800001106,1330.7,1352.5,1218.0,1434.0,145.0,150.0,125.0,175.0,1039.3333333333333,453.5,77.0,8878.0
prototype_id,proto_sw_3_2,90,90,1.0,0.9590643744356734,1.0,90,85,0.9444444444444444,0.8764626377820048,0.976039028383038,5,4,0.044444444444444446,0,0,0.0,1,1,0.011111111111111112,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6.044444444444444,6.0,5.0,7.0,1.8444444444444446,2.0,1.0,4.0,6.044444444444444,6.0,5.0,7.0,1.5863512835923155,1.5439461170896847,1.2841511425683558,1.9432578179925684,0.5982036497888888,0.596608927,0.35067657099999994,0.816182867,0.02788133528265107,0.026821203399122806,0.022637975146198832,0.03433959247076023,60.45404983444443,58.63495454999975,43.523927000002004,88.6399394,2206.1,2232.0,2088.0,2253.0,151.11111111111111,150.0,125.0,175.0,1085.0222222222221,353.0,78.0,21307.0
backbone_variant,compact,150,150,1.0,0.9750297556319235,1.0,150,143,0.9533333333333334,0.9068135276008725,0.9772134508387381,3,3,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,4,0.02666666666666667,0,0,0.0,5.653333333333333,6.0,4.0,7.0,1.72,2.0,1.0,4.0,5.653333333333333,6.0,4.0,7.0,1.3894519344109282,1.3813783157545378,0.9065630966141588,2.042546409747969,0.73490466142,0.7334126375,0.23693643400000008,1.100056524,0.022770505908869396,0.022817868238304093,0.012615360014619883,0.03457373903508772,30.816866586666656,26.53515094999966,10.649654799999553,77.19199720000324,1432.5,1331.0,1017.0,2232.0,152.31333333333333,150.0,100.0,238.0,1120.2466666666667,361.0,41.0,24343.0
backbone_variant,expanded,150,150,1.0,0.9750297556319235,1.0,150,148,0.9866666666666667,0.9526930912996325,0.9963358708487731,1,1,0.006666666666666667,0,0,0.0,1,1,0.006666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5.486666666666666,6.0,4.0,7.0,1.72,2.0,1.0,5.0,5.486666666666666,6.0,4.0,7.0,1.378556015880346,1.3789259820885218,0.7783255265462775,2.1329132766982575,0.6692515336133333,0.6924587635,0.31406338600000006,1.235123647,0.022296920687134503,0.022406684027777776,0.010782163742690058,0.03433959247076023,28.022669011999895,19.681269099999554,11.229874500000733,80.5362337000006,1381.28,1363.0,819.0,2248.0,147.78666666666666,150.0,100.0,238.0,1814.4266666666667,359.5,54.0,88429.0
backbone_variant,swept,150,150,1.0,0.9750297556319235,1.0,150,145,0.9666666666666667,0.9243482038212211,0.9856795681019074,3,2,0.013333333333333334,0,0,0.0,1,1,0.006666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.013333333333333334,0,0,0.0,5.626666666666667,6.0,4.0,7.0,1.6466666666666667,2.0,1.0,3.0,5.626666666666667,6.0,4.0,7.0,1.382098421601444,1.3892170044846055,0.9045041297251035,2.0013669098821176,0.6930565705466666,0.6960127115,0.2786191859999999,1.1465600519999999,0.022471217105263157,0.022318165204678362,0.01149031432748538,0.03485357273391813,30.91439595733328,26.387813950001146,10.206928999999946,88.6399394,1368.2,1326.5,813.0,2253.0,151.22666666666666,150.0,100.0,238.0,940.1466666666666,361.0,52.0,9968.0
density_level,medium,150,150,1.0,0.9750297556319235,1.0,150,146,0.9733333333333334,0.9334461094878556,0.989582059177032,1,1,0.006666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.02,0,0,0.0,5.673333333333333,6.0,4.0,6.0,1.7266666666666666,2.0,1.0,3.0,5.673333333333333,6.0,4.0,6.0,1.358920867752251,1.3513940593619496,1.0014540560841163,1.8279027643800378,0.6886168208066666,0.6903509655,0.31406338600000006,1.100056524,0.022147980628654973,0.02235528600146199,0.010782163742690058,0.03118718019005848,29.869741063999825,25.452954800000953,11.239086199999292,87.00389269999869,1393.9933333333333,1352.5,813.0,2253.0,152.63333333333333,150.0,100.0,204.0,792.96,404.0,74.0,7514.0
density_level,rich,150,150,1.0,0.9750297556319235,1.0,150,146,0.9733333333333334,0.9334461094878556,0.989582059177032,3,2,0.013333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.013333333333333334,0,0,0.0,6.273333333333333,6.0,5.0,7.0,1.84,2.0,1.0,5.0,6.273333333333333,6.0,5.0,7.0,1.590464000491682,1.5637068825279246,1.188548533610563,2.1329132766982575,0.7357039058733333,0.7266702085,0.38075842400000004,1.235123647,0.02567217196637427,0.0252421418128655,0.014688413742690058,0.03485357273391813,31.301932436000087,26.50588880000214,12.216733799999929,88.6399394,1393.9933333333333,1352.5,813.0,2253.0,168.23333333333332,150.0,125.0,238.0,2598.1266666666666,510.5,69.0,88429.0
density_level,simple,150,150,1.0,0.9750297556319235,1.0,150,144,0.96,0.915486535783444,0.9815408393979256,3,3,0.02,0,0,0.0,2,2,0.013333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.006666666666666667,0,0,0.0,4.82,5.0,4.0,6.0,1.52,1.0,1.0,4.0,4.82,5.0,4.0,6.0,1.2007215036487853,1.1608615221123704,0.7783255265462775,1.624105732545534,0.6728920389,0.6688195045,0.23693643400000008,1.08290019,0.019718491106237815,0.019017269736842105,0.010964912280701754,0.027886284722222224,28.58225805599992,23.798414999999295,10.206928999999946,85.85169250000035,1393.9933333333333,1352.5,813.0,2253.0,130.46,125.0,100.0,204.0,483.73333333333335,205.5,41.0,6168.0
