case_id,prototype_id,backbone_variant,density_level,production_seed,generation_success,violation_codes,case_dir,output_png,output_svg
A016,proto_sw_1_1,swept,simple,200001,1,ordinary_backbone_nonroot_crossing_count,raw_cases/A016,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_failure\A016__ordinary_backbone_nonroot_crossing_count.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_failure\A016__ordinary_backbone_nonroot_crossing_count.svg
A195,proto_sw_2_3,compact,rich,200001,1,flower_region_intrusion_curve_count,raw_cases/A195,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_failure\A195__flower_region_intrusion_curve_count.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_failure\A195__flower_region_intrusion_curve_count.svg
A310,proto_sw_3_1,compact,simple,200004,1,internal_unit_crossing_count,raw_cases/A310,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_failure\A310__internal_unit_crossing_count.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_failure\A310__internal_unit_crossing_count.svg
