reference_id,source_file,analysis_role,independent_evaluation_eligible,period_width_px,normalized_canvas_height,l1_count,l2_count,l2_per_l1,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,flower_count,secondary_backbone_count,flower_support_count,wrap_flower_count,legacy_color_normalization_applied,explicit_role_metadata_count,explicit_parent_metadata_count,inferred_attachment_tolerance,inferred_l1_root_count,inferred_l1_root_ratio,inferred_l2_parent_count,inferred_l2_parent_ratio,inferred_hierarchy_l1_only_ratio,inferred_hierarchy_single_l2_ratio,inferred_hierarchy_multi_l2_ratio,inferred_root_hist_0,inferred_root_hist_1,inferred_root_hist_2,inferred_root_hist_3,inferred_root_hist_4,inferred_root_hist_5,inferred_root_hist_6,inferred_root_hist_7,inferred_root_gap_q25,inferred_root_gap_q50,inferred_root_gap_q75,inferred_root_gap_max,inferred_root_coverage_qcov,inferred_root_concentration
REAL_01,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\1.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,379.0948882,0.35874923200824105,6,3,0.5,6,1.373473579013767,0.15260817544597413,0.07046040965197116,0.2482498232747207,0.07748339371980677,1,0,1,0,1,0,0,0.019783965000454467,5,0.8333333333333334,2,0.6666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.4,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.053502319270386234,0.12130830173557097,0.22427476373025748,0.5856841401284882,0.41431585987151176,0.4
REAL_02,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\2.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,298.65789997,0.455370509247072,2,2,1.0,2,1.0497356066133425,0.26243390165333563,0.090669140788316,0.37296712016935596,0.04773809523809524,2,3,0,0,1,0,0,0.03515728196392835,2,1.0,2,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.4946162890293257,0.5,0.5053837109706742,0.5107674219413486,0.4892325780586514,0.5
REAL_03,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\3.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,235.45814168,0.9768190573447322,7,0,0.0,7,1.3813052806141286,0.19732932580201837,0.21224267983088516,0.7833490686878507,0.029986111111111113,0,0,1,0,1,0,0,0.044593913487476905,2,0.2857142857142857,0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4622643406270128,0.5,0.5377356593729872,0.5754713187459743,0.42452868125402565,0.5
REAL_04,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\4.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,440.90508028258927,0.5284584152458922,22,10,0.45454545454545453,22,3.6270973463409852,0.1133467920731558,0.0937085913151291,0.5049784821404504,0.1490019499178982,4,0,4,2,1,0,0,0.023814649614085272,13,0.5909090909090909,9,0.9,0.6818181818181818,0.22727272727272727,0.09090909090909091,0.0,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.0,0.027436621007683737,0.046789879657442524,0.0983808347453431,0.3048100857596263,0.6951899142403737,0.23076923076923078
REAL_05,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\5.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,260.527703,0.9212072161093748,5,0,0.0,5,1.354621113609417,0.27092422272188343,0.0626369642589347,0.49323843691202407,0.02974193738229755,1,0,1,0,1,0,0,0.04030281570478515,5,1.0,0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.034853947697214505,0.12627054062173748,0.3380185481515554,0.4697006235439522,0.5302993764560477,0.4
REAL_06,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\6.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,547.65412,0.30311102197131284,30,2,0.06666666666666667,30,2.1814452704858307,0.06817016470268221,0.08865686972121567,0.2624311618435373,0.16664421695402298,0,0,2,2,1,0,0,0.019172685124691474,12,0.4,2,1.0,0.9333333333333333,0.06666666666666667,0.0,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.04749468488496793,0.0605268450305306,0.0895582037620128,0.33063644937057024,0.6693635506294298,0.25
REAL_07,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\7.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,401.68545499999993,0.3385733745325681,12,10,0.8333333333333334,12,3.0338721419255026,0.13790327917843193,0.07190841377814598,0.29354553303405023,0.1883213141025641,1,2,0,0,1,0,0,0.026139856121999743,11,0.9166666666666666,10,1.0,0.75,0.0,0.25,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.06159080696428759,0.07336916597817691,0.09223776488868418,0.25120613245466983,0.7487938675453302,0.2727272727272727
REAL_08,D:\sdxl\chanzhi_sw_clean_oldmain_opt\data\annotation\8.svg,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,0,365.28742,0.5256135018282316,27,0,0.0,27,2.4223225970290265,0.08971565174181577,0.07431353641698658,0.5028149529638466,0.1070931311881188,2,0,0,2,1,0,0,0.028744488381231417,20,0.7407407407407407,0,0.0,1.0,0.0,0.0,0.15,0.15,0.2,0.2,0.05,0.1,0.05,0.1,0.012896957479331197,0.053938233508540934,0.07455910165633407,0.12527851327790174,0.8747214867220983,0.2
