analysis,control,prototype_id,level,metric,n,mean,median,minimum,maximum,monotonic_triplet_count,monotonic_triplet_fraction,specimen_count,unique_signature_count,unique_signature_ratio,signature_round_decimals
level_distribution,backbone,proto_sw_1_1,expanded,ordinary_mean_length,30,0.19733843685835328,0.20362460304979044,0.1579634170457334,0.23642471986115554,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,mean_backbone_excursion,30,0.08450517897402765,0.08407678606419229,0.05847928322239472,0.11030799315330304,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,vertical_span,30,0.8735914766666666,0.8868699795,0.5736034369999999,1.235123647,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,occupied_area_ratio,30,0.015819551047758285,0.01547937225877193,0.010782163742690058,0.026715551900584795,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,root_coverage_qcov,30,0.49595959603333334,0.484848485,0.424242424,0.606060606,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,root_gap_max,30,0.5040404039666666,0.515151515,0.393939394,0.575757576,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,density_resource_D,30,0.45630417126666667,0.5197036349999999,0.123032368,0.790830052,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,l1_count,30,5.166666666666667,5.5,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,l2_count,30,1.5,1.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,branchunit_count_evaluated,30,5.166666666666667,5.5,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,ordinary_total_length,30,1.3015989567624728,1.279698056140994,0.9771901051013716,1.7106071073425764,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,ordinary_mean_length,30,0.19716005957542226,0.19552462173341806,0.15531578827866224,0.2385610707344578,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,mean_backbone_excursion,30,0.07664275492488556,0.07662420790871934,0.05189032111901658,0.09608759470423746,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,vertical_span,30,0.9796323108666667,0.954251166,0.840256067,1.1465600519999999,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,occupied_area_ratio,30,0.017528059515107212,0.01786938048245614,0.01149031432748538,0.02403143274853801,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,root_coverage_qcov,30,0.6474747473333333,0.6515151515,0.515151515,0.7272727270000001,,,,,,
level_distribution,backbone,proto_sw_1_1,swept,root_gap_max,30,0.3525252526666666,0.3484848485,0.27272727299999994,0.484848485,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,density_resource_D,30,0.5013576925333333,0.5797350495,0.18764259,0.731485993,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,l1_count,30,5.266666666666667,6.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,l2_count,30,1.6,1.5,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,branchunit_count_evaluated,30,5.266666666666667,6.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,ordinary_total_length,30,1.2022861080620606,1.2497379507785245,0.9065630966141588,1.4996506124828013,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,ordinary_mean_length,30,0.1775490136937187,0.1781989994018137,0.1333806395395082,0.21229362432428922,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,mean_backbone_excursion,30,0.07088497539486913,0.07231808763360195,0.042401039665890906,0.10696955077212322,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,vertical_span,30,0.8598188504,0.876333437,0.690100059,1.0406345689999998,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,occupied_area_ratio,30,0.019935581140350878,0.021070335343567254,0.01316360562865497,0.025521975511695907,,,,,,
