figure_panel,selection_rule,case_id,prototype_id,backbone_variant,density_level,production_seed,output_png,output_svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A001,proto_sw_1_1,expanded,simple,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A001__proto_sw_1_1__simple.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A001__proto_sw_1_1__simple.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A002,proto_sw_1_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A002__proto_sw_1_1__expanded.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A002__proto_sw_1_1__expanded.svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A002,proto_sw_1_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A002__proto_sw_1_1__medium.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A002__proto_sw_1_1__medium.svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A003,proto_sw_1_1,expanded,rich,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A003__proto_sw_1_1__rich.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A003__proto_sw_1_1__rich.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A005,proto_sw_1_1,compact,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A005__proto_sw_1_1__compact.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A005__proto_sw_1_1__compact.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A008,proto_sw_1_1,swept,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A008__proto_sw_1_1__swept.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A008__proto_sw_1_1__swept.svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A181,proto_sw_2_3,expanded,simple,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A181__proto_sw_2_3__simple.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A181__proto_sw_2_3__simple.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A182,proto_sw_2_3,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A182__proto_sw_2_3__expanded.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A182__proto_sw_2_3__expanded.svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A182,proto_sw_2_3,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A182__proto_sw_2_3__medium.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A182__proto_sw_2_3__medium.svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A183,proto_sw_2_3,expanded,rich,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A183__proto_sw_2_3__rich.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A183__proto_sw_2_3__rich.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A185,proto_sw_2_3,compact,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A185__proto_sw_2_3__compact.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A185__proto_sw_2_3__compact.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A188,proto_sw_2_3,swept,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A188__proto_sw_2_3__swept.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A188__proto_sw_2_3__swept.svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A271,proto_sw_3_1,expanded,simple,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A271__proto_sw_3_1__simple.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A271__proto_sw_3_1__simple.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A272,proto_sw_3_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A272__proto_sw_3_1__expanded.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A272__proto_sw_3_1__expanded.svg
