"file","source_pdf","source_page","xref","pixel_width","pixel_height","aspect","page_rects","sha256"
"D01448673_tang_ceiling_pattern_p041_i01_x751_374x58.png","D01448673_tang_ceiling_pattern.pdf","41","751","374","58","6.4483","Rect(299.5199890136719, 99.12000274658203, 481.0799865722656, 127.68000030517578)","70be0ad0d0cd425ad67567289bc3df8b0c279303a9b490a9d25439ce91c2def5"
"D01448673_tang_ceiling_pattern_p041_i02_x752_411x36.png","D01448673_tang_ceiling_pattern.pdf","41","752","411","36","11.4167","Rect(299.5199890136719, 153.0, 479.5199890136719, 168.83999633789062)","41b110b12c43abdf1eb8d3870f5ca7537fc99f2cd419d42cc7475569f98d8518"
"D01448673_tang_ceiling_pattern_p043_i00_x767_657x118.png","D01448673_tang_ceiling_pattern.pdf","43","767","657","118","5.5678","Rect(120.5999984741211, 174.59999084472656, 280.55999755859375, 203.39999389648438)","f35e97884803408754c3a34d3b5d11c371498530400908571bfd3b6aa47dd64f"
"D01448673_tang_ceiling_pattern_p043_i01_x768_878x99.png","D01448673_tang_ceiling_pattern.pdf","43","768","878","99","8.8687","Rect(120.72000122070312, 228.47999572753906, 279.47998046875, 246.36000061035156)","581fcf4aac08211d3b17166d2d63c4b069352b29136411e4ec505739528cb443"
"D01448673_tang_ceiling_pattern_p043_i02_x769_320x62.png","D01448673_tang_ceiling_pattern.pdf","43","769","320","62","5.1613","Rect(320.1600036621094, 174.60000610351562, 466.67999267578125, 203.27999877929688)","5ef681279ecd7671fb3a541aa5d8f613f15a30b636aefa9eb5a8cd97f367896b"
"D01448673_tang_ceiling_pattern_p043_i03_x770_447x84.png","D01448673_tang_ceiling_pattern.pdf","43","770","447","84","5.3214","Rect(320.1600036621094, 223.1999969482422, 466.44000244140625, 250.67999267578125)","489af8a4a20b4d3ec097cb0c544a1e22118ab37c8fd96786c900bf24f9e2db84"
"D01448673_tang_ceiling_pattern_p043_i04_x772_336x35.png","D01448673_tang_ceiling_pattern.pdf","43","772","336","35","9.6","Rect(196.55999755859375, 561.0, 390.7200012207031, 581.1599731445312)","a785ffdca25518684da9fc77cb5463f082eb8b1d4f18c09d7824b53893fe6a63"
"D01448673_tang_ceiling_pattern_p043_i05_x773_454x38.png","D01448673_tang_ceiling_pattern.pdf","43","773","454","38","11.9474","Rect(197.39999389648438, 595.6799926757812, 389.5199890136719, 611.760009765625)","a37dbaebb91979b5593cdf81c45f1cc50ab7b1c9758eda72f24ecec324c6ad29"
"D01448673_tang_ceiling_pattern_p043_i06_x774_658x52.png","D01448673_tang_ceiling_pattern.pdf","43","774","658","52","12.6538","Rect(196.55999755859375, 628.0800170898438, 390.1199951171875, 643.4400024414062)","db7c6dc4baccc8d28801de370bcebb01bc1cec47b9177af55ddb202358576fa5"
"D01448673_tang_ceiling_pattern_p044_i00_x767_657x118.png","D01448673_tang_ceiling_pattern.pdf","44","767","657","118","5.5678","Rect(191.39999389648438, 612.3599853515625, 396.8399963378906, 649.3200073242188)","f35e97884803408754c3a34d3b5d11c371498530400908571bfd3b6aa47dd64f"
"D01448673_tang_ceiling_pattern_p044_i01_x785_196x38.png","D01448673_tang_ceiling_pattern.pdf","44","785","196","38","5.1579","Rect(195.83999633789062, 90.0, 391.20001220703125, 127.91999816894531)","c7c4d505c5063e06520a3d74e8492f97c9a900ca766209ee185ebbc2cf6c83b3"
"D01448673_tang_ceiling_pattern_p044_i02_x786_270x35.png","D01448673_tang_ceiling_pattern.pdf","44","786","270","35","7.7143","Rect(194.39999389648438, 136.32000732421875, 392.3999938964844, 162.0)","95e070909bc64780485fc1fa2bcbe05bfb3acc9eb981c14d41b5f14763899296"
"D01448673_tang_ceiling_pattern_p044_i03_x787_574x70.png","D01448673_tang_ceiling_pattern.pdf","44","787","574","70","8.2","Rect(195.83999633789062, 170.27999877929688, 391.44000244140625, 194.0399932861328)","a6a04a137e810b635f805a0582825a9f9643a1dbd97e7123de79099fb42ad639"
"D01448673_tang_ceiling_pattern_p044_i04_x788_533x59.png","D01448673_tang_ceiling_pattern.pdf","44","788","533","59","9.0339","Rect(195.1199951171875, 203.40000915527344, 392.2799987792969, 225.24000549316406)","28268b42b116ee67f4eeb4a060d0c97f4bc60ff964901d6b804add0f60bc160c"
"D01448673_tang_ceiling_pattern_p044_i06_x790_594x80.png","D01448673_tang_ceiling_pattern.pdf","44","790","594","80","7.425","Rect(196.55999755859375, 265.91998291015625, 390.3599853515625, 292.0799865722656)","4d6b03ddd037a1b4e27aab22c37e0a9bae438c84c6a7ab56e82a43b78b84487d"
"D01448673_tang_ceiling_pattern_p044_i07_x791_594x68.png","D01448673_tang_ceiling_pattern.pdf","44","791","594","68","8.7353","Rect(196.55999755859375, 300.5999755859375, 391.08001708984375, 322.79998779296875)","f65728c6849f4880b2424e4bc947536fe9f8296c7dc692e852e80ca1dc327cf4"
"D01448673_tang_ceiling_pattern_p044_i08_x792_424x39.png","D01448673_tang_ceiling_pattern.pdf","44","792","424","39","10.8718","Rect(195.1199951171875, 334.55999755859375, 391.91998291015625, 352.55999755859375)","4981bf16e88e292de56ca3fce22b4b8470a1eb262540472743c0578851741126"
"D01448673_tang_ceiling_pattern_p044_i09_x793_598x41.png","D01448673_tang_ceiling_pattern.pdf","44","793","598","41","14.5854","Rect(195.83999633789062, 363.6000061035156, 391.55999755859375, 377.1600036621094)","700afd1ce2281ebd0f86ca610fe819ca0f10bd3fe63817a1aca1ad3d2320d8e4"
