"file","source_pdf","source_page","xref","pixel_width","pixel_height","aspect","page_rects","sha256"
"D01448673_tang_ceiling_pattern_p044_i10_x794_556x86.png","D01448673_tang_ceiling_pattern.pdf","44","794","556","86","6.4651","Rect(196.55999755859375, 384.0, 390.8399963378906, 414.0)","6afc5334198d0d29f18d36d687d6736e9245f41097a14e8ecba18d63f5024723"
"D01448673_tang_ceiling_pattern_p044_i11_x795_591x52.png","D01448673_tang_ceiling_pattern.pdf","44","795","591","52","11.3654","Rect(197.39999389648438, 424.91998291015625, 390.8399963378906, 441.9599914550781)","0927cac2f37d5776ec1cb89f1c901591c6a4ebe2634a8b264bbcbb65989d6d5f"
"D01448673_tang_ceiling_pattern_p044_i12_x796_391x63.png","D01448673_tang_ceiling_pattern.pdf","44","796","391","63","6.2063","Rect(196.55999755859375, 453.0, 391.20001220703125, 484.32000732421875)","b0f3a7e6373e24f97581e43afae8fc3b08063e7ef23006952aeab0e9730a5e89"
"D01448673_tang_ceiling_pattern_p044_i13_x797_602x44.png","D01448673_tang_ceiling_pattern.pdf","44","797","602","44","13.6818","Rect(198.1199951171875, 491.03997802734375, 390.1199951171875, 505.0799865722656)","bb88e767eb327da10e5eb2af5af12932096785e9aa14417fbd6100bd445ca915"
"D01448673_tang_ceiling_pattern_p044_i14_x798_599x76.png","D01448673_tang_ceiling_pattern.pdf","44","798","599","76","7.8816","Rect(195.83999633789062, 513.2400512695312, 391.79998779296875, 537.9600219726562)","fd29cfcb26c11a1207c798cb3ba78cd91dc0e86668d0fd21390305103c40f4c4"
"D01448673_tang_ceiling_pattern_p044_i15_x799_581x72.png","D01448673_tang_ceiling_pattern.pdf","44","799","581","72","8.0694","Rect(195.83999633789062, 545.6400146484375, 391.44000244140625, 569.8800048828125)","2295bfd5173dd6f6bc70ccbbb9b14622fcb66e7432bc0b685bc46455c9ff909e"
"D01448673_tang_ceiling_pattern_p044_i16_x800_604x78.png","D01448673_tang_ceiling_pattern.pdf","44","800","604","78","7.7436","Rect(195.1199951171875, 578.0399780273438, 392.8800048828125, 603.5999755859375)","859cb1981c45295bb833d1619a1ffbf863df447792259ec4fa0e78eb32d5b8fc"
"D01448673_tang_ceiling_pattern_p052_i07_x878_434x53.png","D01448673_tang_ceiling_pattern.pdf","52","878","434","53","8.1887","Rect(198.83999633789062, 539.760009765625, 416.03997802734375, 566.280029296875)","2b3180b5d8e15c82e9f694442866a293143f3993ed4b012d5e1a76011f17b4c2"
"D01448673_tang_ceiling_pattern_p052_i08_x879_414x56.png","D01448673_tang_ceiling_pattern.pdf","52","879","414","56","7.3929","Rect(198.83999633789062, 573.8399658203125, 415.91998291015625, 603.239990234375)","f9667a630fb983c52378044f2c13fbfad783196d121477c611f8fe7f9636c206"
"D01448673_tang_ceiling_pattern_p052_i09_x880_346x42.png","D01448673_tang_ceiling_pattern.pdf","52","880","346","42","8.2381","Rect(197.27999877929688, 610.9199829101562, 417.47998046875, 637.6799926757812)","98b6e2a00e8bdb640780e75307dc5f6f3f8ca0c9598b016743ae41f1fc3dfba6"
"D01448673_tang_ceiling_pattern_p052_i10_x881_311x33.png","D01448673_tang_ceiling_pattern.pdf","52","881","311","33","9.4242","Rect(197.27999877929688, 648.0, 416.6400146484375, 671.280029296875)","387e96a485f08950aef704df421a76bc4e1de22bb62a527afa620a3721be545e"
"D01448673_tang_ceiling_pattern_p052_i11_x882_677x86.png","D01448673_tang_ceiling_pattern.pdf","52","882","677","86","7.8721","Rect(196.55999755859375, 681.3599853515625, 417.9599914550781, 709.3200073242188)","274030da48f24b6c1343d07aea5dfe3d4628f83e1ffa5d7ad85ef4ddd71d99e2"
"D01448673_tang_ceiling_pattern_p053_i00_x887_397x46.png","D01448673_tang_ceiling_pattern.pdf","53","887","397","46","8.6304","Rect(196.55999755859375, 89.63999938964844, 417.1199951171875, 115.19999694824219)","7dc9dac063c537bb6d16e037315a4ecf6537477106c49131d7b48792b72c435a"
"D01448673_tang_ceiling_pattern_p053_i01_x888_364x49.png","D01448673_tang_ceiling_pattern.pdf","53","888","364","49","7.4286","Rect(195.83999633789062, 123.72000122070312, 418.79998779296875, 153.72000122070312)","69400157aee7a9e47ba2be2a1b8b6e5a9e5bed936da22d99c2c81b65f9271d3b"
"D01448673_tang_ceiling_pattern_p053_i02_x889_668x70.png","D01448673_tang_ceiling_pattern.pdf","53","889","668","70","9.5429","Rect(198.0, 162.36000061035156, 416.52001953125, 185.27999877929688)","fd7502a6f1339b84196ebbee4a669d96b9fb01093db81cb2aa8b7b5f01cbff99"
"D01448673_tang_ceiling_pattern_p053_i04_x891_492x72.png","D01448673_tang_ceiling_pattern.pdf","53","891","492","72","6.8333","Rect(200.27999877929688, 229.8000030517578, 413.6400146484375, 261.0)","09ea6d9b7ddd0173f94afdcbbf39d052a93a834db14ea2a92dfb0c257d238f2b"
"D01448673_tang_ceiling_pattern_p053_i05_x892_406x89.png","D01448673_tang_ceiling_pattern.pdf","53","892","406","89","4.5618","Rect(201.0, 273.239990234375, 413.760009765625, 319.79998779296875)","89ee86e2c1769384e3bff9df86bee86fe3c0c35ea0d1062d34117dd04473b08e"
"D01448673_tang_ceiling_pattern_p053_i06_x893_650x72.png","D01448673_tang_ceiling_pattern.pdf","53","893","650","72","9.0278","Rect(199.55999755859375, 336.8399963378906, 415.55999755859375, 360.7200012207031)","adafe37d1fd1e4e70457d6cb28e126f685dc1705778aa158086ddda092a769ae"
"D01448673_tang_ceiling_pattern_p053_i07_x894_414x46.png","D01448673_tang_ceiling_pattern.pdf","53","894","414","46","9.0","Rect(198.0, 371.6400146484375, 416.03997802734375, 395.8800048828125)","dde5563f122d585a1d03d0ff07bd8d08fdc5c1135dae5e7b23c543e052b35d1a"
"D01448673_tang_ceiling_pattern_p053_i08_x895_473x49.png","D01448673_tang_ceiling_pattern.pdf","53","895","473","49","9.6531","Rect(199.55999755859375, 408.7200012207031, 414.5999755859375, 430.9200134277344)","31e980fdd1c894c441932af2b4c38d4a0d74c0d8b1b2103d41260aeece3671a8"
"D01448673_tang_ceiling_pattern_p053_i09_x896_658x66.png","D01448673_tang_ceiling_pattern.pdf","53","896","658","66","9.9697","Rect(199.55999755859375, 444.3599853515625, 414.7200012207031, 466.0799865722656)","af2c7a311c43587a06e614dfcddfcc3bcb220f2d8bf8aa13d44e07cbe3616ec8"
"D01448673_tang_ceiling_pattern_p053_i10_x897_334x33.png","D01448673_tang_ceiling_pattern.pdf","53","897","334","33","10.1212","Rect(200.27999877929688, 480.0, 414.47998046875, 501.239990234375)","e31545e2b2bfc4e750dc0d77abe4efd8a89ab58d1f3bae8d68bd718748f917e7"
"D01448673_tang_ceiling_pattern_p053_i11_x898_615x53.png","D01448673_tang_ceiling_pattern.pdf","53","898","615","53","11.6038","Rect(200.27999877929688, 517.0799560546875, 414.7200012207031, 536.0399780273438)","21c41fbd6bff27ead67867fb1c230ab58227da6d675b61f55876270229e24203"
"D01448673_tang_ceiling_pattern_p053_i12_x899_719x82.png","D01448673_tang_ceiling_pattern.pdf","53","899","719","82","8.7683","Rect(200.27999877929688, 549.6000366210938, 414.0, 573.9600219726562)","945bd89cf0e3db6fe3c02b521e2382020beb3c31c7e091d41a0a69d641c30e6a"
"D01448673_tang_ceiling_pattern_p053_i13_x900_436x69.png","D01448673_tang_ceiling_pattern.pdf","53","900","436","69","6.3188","Rect(200.27999877929688, 588.719970703125, 413.8800048828125, 622.43994140625)","afc6768eeabeedd5387eb2d71867ab41f8e9499220aefa6700c514670a715c77"
"D01448673_tang_ceiling_pattern_p053_i14_x901_669x87.png","D01448673_tang_ceiling_pattern.pdf","53","901","669","87","7.6897","Rect(195.83999633789062, 635.6400146484375, 417.9599914550781, 664.5599975585938)","094397ea70d099a54bdb4a31e89be1cb05ca8289f6d7f51bfc13d6fdd87a1c61"
"D01448673_tang_ceiling_pattern_p053_i15_x902_734x101.png","D01448673_tang_ceiling_pattern.pdf","53","902","734","101","7.2673","Rect(198.0, 675.3599853515625, 416.1600036621094, 705.3599853515625)","0bfa3ca65eb96507961feb272c825aeb6c4b636fe5168689e4fe79635a80b87c"
"D01448673_tang_ceiling_pattern_p053_i16_x903_764x114.png","D01448673_tang_ceiling_pattern.pdf","53","903","764","114","6.7018","Rect(199.55999755859375, 720.3600463867188, 414.1199951171875, 752.4000244140625)","885cf025610737b30bb7c2186336d13a03a386edde8e79daac0c413dbc0020c2"
"D01448673_tang_ceiling_pattern_p054_i00_x906_486x77.png","D01448673_tang_ceiling_pattern.pdf","54","906","486","77","6.3117","Rect(198.0, 93.83999633789062, 415.79998779296875, 128.39999389648438)","690bbaa927407c370fc2192f592126a82ecaf6de5a0212bbf02f62c706e40765"
"D01448673_tang_ceiling_pattern_p054_i01_x907_769x87.png","D01448673_tang_ceiling_pattern.pdf","54","907","769","87","8.8391","Rect(198.0, 141.95999145507812, 416.760009765625, 166.67999267578125)","7059d252965d78fff67564d98f58d41b1989a1baad2c456766e75d228af7dd52"
"D01448673_tang_ceiling_pattern_p054_i02_x908_744x131.png","D01448673_tang_ceiling_pattern.pdf","54","908","744","131","5.6794","Rect(196.55999755859375, 178.67999267578125, 418.32000732421875, 217.67999267578125)","68f10f2347a533bdf98d3b0c9e155f4012624e1e1a65f62c67afd00106385455"
"D01448673_tang_ceiling_pattern_p054_i03_x909_731x97.png","D01448673_tang_ceiling_pattern.pdf","54","909","731","97","7.5361","Rect(197.27999877929688, 226.79998779296875, 416.760009765625, 255.83999633789062)","08792b2e3c5d2fcca37c93233908f6bdfa81b7f9e01fbfb7b59277ffd90165c9"
"D01448673_tang_ceiling_pattern_p065_i01_x1012_517x39.png","D01448673_tang_ceiling_pattern.pdf","65","1012","517","39","13.2564","Rect(225.72000122070312, 146.52000427246094, 394.79998779296875, 159.36000061035156)","ce3dceb3da2dbdd0f77fc12dc8ad173cb0a6900198ba49002a1ae4c6c5920086"
"D01448673_tang_ceiling_pattern_p065_i02_x1013_343x27.png","D01448673_tang_ceiling_pattern.pdf","65","1013","343","27","12.7037","Rect(224.27999877929688, 167.52000427246094, 396.239990234375, 181.0800018310547)","b8b85db619ce88a5d4980c45f6e136702eeea7d3707dbe36b781ab58fb5e224e"
"D01448673_tang_ceiling_pattern_p065_i03_x1014_512x55.png","D01448673_tang_ceiling_pattern.pdf","65","1014","512","55","9.3091","Rect(225.0, 192.60000610351562, 394.67999267578125, 210.9600067138672)","b5a28a5dc7e605429627e2fdaf865f30f82d90389710238231df4f7630d7dea1"
"D01448673_tang_ceiling_pattern_p065_i04_x1015_356x34.png","D01448673_tang_ceiling_pattern.pdf","65","1015","356","34","10.4706","Rect(225.0, 226.44000244140625, 395.8800048828125, 242.760009765625)","5936d22a36e2b0750a0919fd9235f7d0491b4c03433f7140895840c9add92e1f"
"D01448673_tang_ceiling_pattern_p065_i05_x1016_527x66.png","D01448673_tang_ceiling_pattern.pdf","65","1016","527","66","7.9848","Rect(225.72000122070312, 255.83999633789062, 394.79998779296875, 276.9599914550781)","b7f728278735eab0bfe0dc7a6f1951db09adae73e9ea1d3d63b7ed7b7bae0c4d"
"D01448673_tang_ceiling_pattern_p065_i06_x1017_457x45.png","D01448673_tang_ceiling_pattern.pdf","65","1017","457","45","10.1556","Rect(223.55999755859375, 290.5199890136719, 397.08001708984375, 307.67999267578125)","0e808e27b264895c7020cd2764084ff2d0d007f8c21d926a5ee9fac07388cc49"
"D01448673_tang_ceiling_pattern_p065_i07_x1018_529x46.png","D01448673_tang_ceiling_pattern.pdf","65","1018","529","46","11.5","Rect(223.55999755859375, 323.6400146484375, 396.7200012207031, 338.760009765625)","2592016e246660f6bd5f8d728c574bfd0e1d268e8f7c3d7c2ad7f9d73924098e"
"D01448673_tang_ceiling_pattern_p065_i08_x1019_492x52.png","D01448673_tang_ceiling_pattern.pdf","65","1019","492","52","9.4615","Rect(224.27999877929688, 354.6000061035156, 395.3999938964844, 372.6000061035156)","7bd3764aaa53d8166714a4df99838600e7cf6e1a23b721f0cf4ba3ed35c6574b"
"D01448673_tang_ceiling_pattern_p065_i09_x1020_396x33.png","D01448673_tang_ceiling_pattern.pdf","65","1020","396","33","12.0","Rect(222.0, 384.47998046875, 398.1600036621094, 399.1199951171875)","2333ce00dc9e407b2a45b0126a9c26cb075df25c70c62612fe953d53be6d1d3c"
"D01448673_tang_ceiling_pattern_p065_i11_x1022_530x81.png","D01448673_tang_ceiling_pattern.pdf","65","1022","530","81","6.5432","Rect(223.55999755859375, 438.6000061035156, 396.9599914550781, 465.0)","4cb5415b4c47be32f8bc29ff33f671cbe69f32cb5f5458d777d354b6f3f633c4"
"D01448673_tang_ceiling_pattern_p065_i12_x1023_446x44.png","D01448673_tang_ceiling_pattern.pdf","65","1023","446","44","10.1364","Rect(225.0, 475.55999755859375, 395.8800048828125, 492.3599853515625)","e4b17f9bb314662566de7722d07e45f69a7ed8085af50e6eab76d3502b29b18f"
"D01448673_tang_ceiling_pattern_p065_i13_x1024_225x26.png","D01448673_tang_ceiling_pattern.pdf","65","1024","225","26","8.6538","Rect(224.27999877929688, 506.4000244140625, 395.3999938964844, 526.2000122070312)","23dbf80c2d8b6c54da6f0b617a8b52c32fc4fa666f17a9a47bed4cb263eb34dc"
"D01448673_tang_ceiling_pattern_p065_i15_x1026_568x56.png","D01448673_tang_ceiling_pattern.pdf","65","1026","568","56","10.1429","Rect(223.55999755859375, 572.75, 397.32000732421875, 589.9099731445312)","2eaa1226af9c7a76e0256990ae2551b65a61e6f88b12d8a03d22ecd87113e218"
"D01448673_tang_ceiling_pattern_p065_i16_x1027_392x33.png","D01448673_tang_ceiling_pattern.pdf","65","1027","392","33","11.8788","Rect(223.55999755859375, 603.47998046875, 396.1199951171875, 618.0)","fc0057a8064511195fd573f9a04f5ad51c68429c302db7b2bb7a8cd11e3db5be"
"D01448673_tang_ceiling_pattern_p065_i17_x1028_304x28.png","D01448673_tang_ceiling_pattern.pdf","65","1028","304","28","10.8571","Rect(222.72000122070312, 632.0399780273438, 398.1600036621094, 648.239990234375)","2b141e3d703aec0c8a18d894d1e47f3cef788fb7d43c58326a64da32f9613e29"
"D01448673_tang_ceiling_pattern_p065_i18_x963_475x51.png","D01448673_tang_ceiling_pattern.pdf","65","963","475","51","9.3137","Rect(223.55999755859375, 663.0, 397.20001220703125, 681.5999755859375)","8e54f00f9e2a092020fbacb12dff86ae3b0ea1400f099317f71e7159634b72a6"
"D01448673_tang_ceiling_pattern_p065_i19_x964_472x46.png","D01448673_tang_ceiling_pattern.pdf","65","964","472","46","10.2609","Rect(222.72000122070312, 696.1199951171875, 396.7200012207031, 713.0399780273438)","2a026419e047aa79c7281e0c86fa4b4f47947dc293604b9b219c8bfec49eb707"
"D01448673_tang_ceiling_pattern_p066_i00_x1033_347x30.png","D01448673_tang_ceiling_pattern.pdf","66","1033","347","30","11.5667","Rect(221.27999877929688, 93.23999786376953, 398.6400146484375, 108.5999984741211)","2694b15debcc03b90aa7295b7e99094d31ea7789df0d79812e6588ebf1f2fae3"
"D01448673_tang_ceiling_pattern_p066_i01_x1034_408x48.png","D01448673_tang_ceiling_pattern.pdf","66","1034","408","48","8.5","Rect(218.27999877929688, 122.64000701904297, 401.6400146484375, 144.24000549316406)","5c5e70717ff7453bde6a13ced99342517b845b50cc9c9e15585f75902a41927b"
"D01448673_tang_ceiling_pattern_p066_i02_x1035_406x34.png","D01448673_tang_ceiling_pattern.pdf","66","1035","406","34","11.9412","Rect(217.55999755859375, 158.04000854492188, 402.1199951171875, 173.52000427246094)","59bd77dbeb3611def9d4827861fb3eed0dbf6d93f883f87514e165bfca3b3811"
"D01448673_tang_ceiling_pattern_p066_i03_x1036_322x32.png","D01448673_tang_ceiling_pattern.pdf","66","1036","322","32","10.0625","Rect(217.55999755859375, 189.0, 402.7200012207031, 207.36000061035156)","7ec62a3e3d11969539f0136b12aae8b8037dd5e12a926a7b7748c5b735fd607c"
"D01448673_tang_ceiling_pattern_p066_i04_x1037_424x45.png","D01448673_tang_ceiling_pattern.pdf","66","1037","424","45","9.4222","Rect(218.27999877929688, 220.55999755859375, 402.3599853515625, 240.1199951171875)","9cad0b44ae5f7b5fdcb5f755ba9546a27f759165735e4fabbaf9ed899b1bc2cc"
"D01448673_tang_ceiling_pattern_p066_i05_x1038_561x73.png","D01448673_tang_ceiling_pattern.pdf","66","1038","561","73","7.6849","Rect(218.27999877929688, 251.51998901367188, 401.8800048828125, 275.3999938964844)","8b8f6cf4400c266828fc0774e7a7f553cbbe2642ac95fa72bf98b73cf49525c2"
"D01448673_tang_ceiling_pattern_p066_i06_x1039_381x55.png","D01448673_tang_ceiling_pattern.pdf","66","1039","381","55","6.9273","Rect(218.27999877929688, 282.3599853515625, 402.7200012207031, 309.0)","8f2e6c296023360e1d750c3d27fa921569cccf5a35d4cff206985abafb5bd2ef"
"D01448673_tang_ceiling_pattern_p066_i07_x1040_563x61.png","D01448673_tang_ceiling_pattern.pdf","66","1040","563","61","9.2295","Rect(217.55999755859375, 317.760009765625, 402.9599914550781, 337.9200134277344)","3e8b094ccfd482b82b5d0753060d71486e02cc59767551de4aad8a501743aa91"
"D01448673_tang_ceiling_pattern_p066_i08_x1041_508x81.png","D01448673_tang_ceiling_pattern.pdf","66","1041","508","81","6.2716","Rect(216.72000122070312, 348.239990234375, 403.20001220703125, 378.0)","1f7ef51fc99c7bf3897f0c232d701e15aa517c8ee29dbb8b5f1950cce50cfad1"
"D01448673_tang_ceiling_pattern_p066_i09_x1042_497x51.png","D01448673_tang_ceiling_pattern.pdf","66","1042","497","51","9.7451","Rect(217.55999755859375, 388.32000732421875, 403.20001220703125, 407.3999938964844)","c245221020642555c0111bfb7bb4fddd696d8bb55d9cb1e5431f2d93d767a239"
"D01448673_tang_ceiling_pattern_p066_i10_x1043_508x57.png","D01448673_tang_ceiling_pattern.pdf","66","1043","508","57","8.9123","Rect(218.27999877929688, 420.010009765625, 402.3599853515625, 440.6500244140625)","9e2b5211075598ff4b7bf9b6abfcc542853fdf04ed68b751353730c5c594c171"
"D01448673_tang_ceiling_pattern_p066_i11_x1044_510x58.png","D01448673_tang_ceiling_pattern.pdf","66","1044","510","58","8.7931","Rect(219.0, 452.3999938964844, 402.0, 473.1600036621094)","aeb49f5a0be45163afa600000428f3290419a06bef908e307582107ca7a6ff2c"
"D01448673_tang_ceiling_pattern_p066_i12_x1045_457x42.png","D01448673_tang_ceiling_pattern.pdf","66","1045","457","42","10.881","Rect(219.0, 486.3600158691406, 401.52001953125, 503.1600036621094)","3261031f44c34f93dc9f56417e52d3a1305fcc48fcd81a2fe135d0842a1a26c1"
"D01448673_tang_ceiling_pattern_p066_i13_x1046_515x37.png","D01448673_tang_ceiling_pattern.pdf","66","1046","515","37","13.9189","Rect(218.27999877929688, 514.6799926757812, 402.239990234375, 527.8800048828125)","8cdabd4568abd122d6a286b0bdf48c8b0bfc054ea71d8e0d2825f9a256d03da3"
"D01448673_tang_ceiling_pattern_p066_i14_x1047_401x56.png","D01448673_tang_ceiling_pattern.pdf","66","1047","401","56","7.1607","Rect(219.0, 534.8400268554688, 400.91998291015625, 560.280029296875)","e2be21e0fabb51d4cd60cfec03bff378343f133ce07370a76250afa6f0f7e646"
"D01448673_tang_ceiling_pattern_p066_i15_x1048_409x73.png","D01448673_tang_ceiling_pattern.pdf","66","1048","409","73","5.6027","Rect(219.0, 571.4400024414062, 402.0, 604.0800170898438)","c955450ecc22bae33fb1ee769c3d6184626ca48cd0d5fae83e1733e153260594"
"D01448673_tang_ceiling_pattern_p066_i16_x1049_551x58.png","D01448673_tang_ceiling_pattern.pdf","66","1049","551","58","9.5","Rect(219.0, 618.5999755859375, 401.760009765625, 637.7999877929688)","30d6554ad9cf8fc7c3bd3d76c85f5b0691bd9a4b2e5516ade19986fe6cec54a8"
"D01448673_tang_ceiling_pattern_p066_i17_x1050_419x38.png","D01448673_tang_ceiling_pattern.pdf","66","1050","419","38","11.0263","Rect(219.0, 651.7200317382812, 401.3999938964844, 668.280029296875)","d8beb04bc2d69c78f53cb8734b2b4ac54055078b88c4df61c02c96c3f0746126"
"D01448673_tang_ceiling_pattern_p066_i18_x1051_353x32.png","D01448673_tang_ceiling_pattern.pdf","66","1051","353","32","11.0312","Rect(216.72000122070312, 684.1199951171875, 403.08001708984375, 700.9199829101562)","06b2c6c3ca84a72a57bfe11691e8e1ca7a6cc378f121a4bd994d6e0a5b2f60c6"
"D01448673_tang_ceiling_pattern_p066_i19_x1052_298x34.png","D01448673_tang_ceiling_pattern.pdf","66","1052","298","34","8.7647","Rect(217.55999755859375, 714.239990234375, 403.32000732421875, 735.47998046875)","127fb0be1e0288c6bf94261a6d0aa8e6cbeb788b0b44a066b4a3dd84c7b2da79"
"D01448673_tang_ceiling_pattern_p067_i00_x1055_231x25.png","D01448673_tang_ceiling_pattern.pdf","67","1055","231","25","9.24","Rect(219.72000122070312, 90.95999908447266, 400.32000732421875, 110.5199966430664)","0b82d14c7c6064781fe622f5479236536062c549af9f7f22e7fee27bfddece23"
"D01448673_tang_ceiling_pattern_p067_i01_x1056_438x37.png","D01448673_tang_ceiling_pattern.pdf","67","1056","438","37","11.8378","Rect(219.72000122070312, 125.63999938964844, 401.0400085449219, 141.0)","b3a14f3162dc99b73d977961bb7e25352f448c3ddc45db4f0cdc0ef2ce2c852b"
"D01448673_tang_ceiling_pattern_p067_i02_x1057_336x49.png","D01448673_tang_ceiling_pattern.pdf","67","1057","336","49","6.8571","Rect(218.27999877929688, 152.760009765625, 402.1199951171875, 179.52000427246094)","d529830216933d27ddd638aec923ae558f4c8b54c5fc0bb0ca802a68f20e4c03"
"D01448673_tang_ceiling_pattern_p067_i03_x1058_343x32.png","D01448673_tang_ceiling_pattern.pdf","67","1058","343","32","10.7188","Rect(216.72000122070312, 254.52001953125, 403.32000732421875, 271.9200134277344)","acafc66e8ab035ce122b34895861b43775072db1b14683e3fa49fe8fd51d28ca"
"D01448673_tang_ceiling_pattern_p067_i04_x1059_347x54.png","D01448673_tang_ceiling_pattern.pdf","67","1059","347","54","6.4259","Rect(216.72000122070312, 283.3199768066406, 402.96002197265625, 312.239990234375)","77d2d322c5b750dc21978d60a46915429bada9827e0a92434c7a947042dc761c"
