file,object_id,title,object_name,classification,medium,date,culture,source_page,image_url,rights
met_386855.jpg,386855,Design for Two Round Tables with Foliate Rococo Style Carving,Drawing ; Ornament and Architecture,Drawings,"Pen and gray ink, brush and yellow wash or watercolor",early 19th century,,https://www.metmuseum.org/art/collection/search/386855,https://images.metmuseum.org/CRDImages/dp/web-large/DP807006.jpg,The Met Open Access; Public Domain
met_386900.jpg,386900,Design for a Mirrored Sideboard with Diminishing Legs and Foliate Ornament,Drawing ; Ornament and Architecture,Drawings,"Pen and ink, brush and wash",early 19th century,,https://www.metmuseum.org/art/collection/search/386900,https://images.metmuseum.org/CRDImages/dp/web-large/DP807294.jpg,The Met Open Access; Public Domain
met_386958.jpg,386958,Design for Four Brackets with Foliate and Rocaille Ornament,Drawing ; Ornament and  Architecture,Drawings,"Pen and ink, brush and wash",early 19th century,,https://www.metmuseum.org/art/collection/search/386958,https://images.metmuseum.org/CRDImages/dp/web-large/DP807265.jpg,The Met Open Access; Public Domain
met_389382.jpg,389382,Overall Pattern of Acanthus Scrolls,Drawing; Ornament & Architecture,Drawings,"Brush and gray-brown wash, over graphite",17th century,,https://www.metmuseum.org/art/collection/search/389382,https://images.metmuseum.org/CRDImages/dp/web-large/DP802608.jpg,The Met Open Access; Public Domain
met_389384.jpg,389384,Acanthus Scroll,Drawing; Ornament & Architecture,Drawings,"Brush and brown wash, over graphite or black chalk",17th century,,https://www.metmuseum.org/art/collection/search/389384,https://images.metmuseum.org/CRDImages/dp/web-large/DP802610.jpg,The Met Open Access; Public Domain
met_391736.jpg,391736,"Designs for borders and corners, acanthus",Drawing ; Ornament and Architecture,Drawings,"Pen and ink, graphite",1830–1904,,https://www.metmuseum.org/art/collection/search/391736,https://images.metmuseum.org/CRDImages/dp/web-large/DP805870.jpg,The Met Open Access; Public Domain
met_391737.jpg,391737,"Designs for borders and corners, acanthus",Drawing ; Ornament and Architecture,Drawings,Graphite,1830–1904,,https://www.metmuseum.org/art/collection/search/391737,https://images.metmuseum.org/CRDImages/dp/web-large/DP805872.jpg,The Met Open Access; Public Domain
met_391738.jpg,391738,"Designs for borders and corners, acanthus",Drawing ; Ornament and Architecture,Drawings,"Pen and ink, graphite",1830–1904,,https://www.metmuseum.org/art/collection/search/391738,https://images.metmuseum.org/CRDImages/dp/web-large/DP805766.jpg,The Met Open Access; Public Domain
met_391739.jpg,391739,"Designs for borders and corners, acanthus",Drawing ; Ornament and Architecture,Drawings,"Pen and ink, graphite",1830–1904,,https://www.metmuseum.org/art/collection/search/391739,https://images.metmuseum.org/CRDImages/dp/web-large/DP805764.jpg,The Met Open Access; Public Domain
met_391740.jpg,391740,"Designs for borders and corners, acanthus",Drawing ; Ornament and Architecture,Drawings,Pen and ink,1830–1900,,https://www.metmuseum.org/art/collection/search/391740,https://images.metmuseum.org/CRDImages/dp/web-large/DP805868.jpg,The Met Open Access; Public Domain
met_393924.jpg,393924,"Arched framing element for banknote, with acanthus and vine leaves, lily and grapes",Print,Prints,Engraving; proof,ca. 1824–37,,https://www.metmuseum.org/art/collection/search/393924,https://images.metmuseum.org/CRDImages/dp/web-large/DP837941.jpg,The Met Open Access; Public Domain
met_394869.jpg,394869,Grapes and Vine-leaves,Drawing ; Ornament and Architecture,Drawings,"Pen and ink, brush and wash",1845–70,,https://www.metmuseum.org/art/collection/search/394869,https://images.metmuseum.org/CRDImages/dp/web-large/DP827631.jpg,The Met Open Access; Public Domain
met_394872.jpg,394872,Two Carved Stone Ornamental Panels,Drawing ; Ornament and Architecture,Drawings,"Pen and ink, brush and wash",1845–70,,https://www.metmuseum.org/art/collection/search/394872,https://images.metmuseum.org/CRDImages/dp/web-large/DP827634.jpg,The Met Open Access; Public Domain
