context_id,prototype_id,backbone_variant,replicate,production_seed,backbone_seed,flower_seed,branch_seed,unit_seed,density_level,candidate_pool_count,l1_conflict_edge_count,old_selection_success,h2_selection_success,old_error,h2_error,old_runtime_seconds,h2_runtime_seconds,target_quantile,target_resource_score,old_selected_L1_count,h2_selected_L1_count,old_ordinary_l1_count,h2_ordinary_l1_count,old_total_planning_length,h2_total_planning_length,old_mean_backbone_excursion,h2_mean_backbone_excursion,old_mean_vertical_span,h2_mean_vertical_span,old_composite_resource_score,h2_composite_resource_score,old_structural_score,h2_structural_score,old_root_distribution,h2_root_distribution,old_root_coverage,h2_root_coverage,old_minimum_root_spacing_actual,h2_minimum_root_spacing_actual,old_minimum_lane_clearance,h2_minimum_lane_clearance,old_curve_crossing_count,h2_curve_crossing_count,old_periodic_crossing_count,h2_periodic_crossing_count,old_flower_reserve_intrusion_count,h2_flower_reserve_intrusion_count,old_absolute_density_target_error,h2_absolute_density_target_error,old_render_file,h2_render_file
proto_sw_3_1__swept__r1,proto_sw_3_1,swept,1,100000,146086172,4157341395,2781254137,4054807205,medium,239,7170,True,True,,,6.802321200004371,6.556501700004446,0.5,0.448374993,6,6,6.0,6.0,1.278515091,1.278515091,0.16608325916666666,0.16608325916666666,0.11682188633333335,0.11682188633333335,0.4162731791895264,0.4162731791895264,4.595069181203333,4.595069181203333,"[0.108185962, 0.199095053, 0.290004144, 0.411216265, 0.683943538, 0.774852629]","[0.108185962, 0.199095053, 0.290004144, 0.411216265, 0.683943538, 0.774852629]",0.824852629,0.824852629,0.090909091,0.090909091,0.059186440777237684,0.059186440777237684,0,0,0,0,0,0,0.03210181381047361,0.03210181381047361,raw_contexts/proto_sw_3_1__swept__r1/old_medium.png,raw_contexts/proto_sw_3_1__swept__r1/h2_medium.png
proto_sw_3_1__swept__r1,proto_sw_3_1,swept,1,100000,146086172,4157341395,2781254137,4054807205,rich,239,7170,True,True,,,6.556489800001145,6.081811500000185,0.8,0.688775884,7,7,7.0,7.0,1.6428877430000002,1.6428877430000002,0.19235370942857147,0.19235370942857147,0.09403048342857145,0.09403048342857145,0.725000020395928,0.725000020395928,4.495011509404287,4.495011509404287,"[0.047579901, 0.138488992, 0.229398083, 0.320307174, 0.411216265, 0.683943538, 0.774852629]","[0.047579901, 0.138488992, 0.229398083, 0.320307174, 0.411216265, 0.683943538, 0.774852629]",0.824852629,0.824852629,0.09090909099999997,0.09090909099999997,0.04200152516102516,0.04200152516102516,0,0,0,0,0,0,0.03622413639592803,0.03622413639592803,raw_contexts/proto_sw_3_1__swept__r1/old_rich.png,raw_contexts/proto_sw_3_1__swept__r1/h2_rich.png
proto_sw_3_1__swept__r2,proto_sw_3_1,swept,2,100002,597182601,2971350444,1978891010,1570248508,simple,211,5905,True,True,,,5.1945348999943235,4.98661429999629,0.2,0.224377377,5,6,5.0,6.0,1.2289412899999999,1.1835935469999999,0.15071786280000002,0.14332656733333332,0.1293653964,0.091620885,0.251881432886752,0.34068285410773774,4.442932160736,4.5410313165666665,"[0.044436437, 0.165648558, 0.28686068, 0.37776977, 0.711103104]","[0.044436437, 0.135345528, 0.28686068, 0.37776977, 0.650497043, 0.771709164]",0.7861031039999999,0.846709164,0.09090909000000003,0.09090909000000003,0.05319992414119698,0.09066223137145192,0,0,0,0,0,0,0.027504055886752032,0.11630547710773775,raw_contexts/proto_sw_3_1__swept__r2/old_simple.png,raw_contexts/proto_sw_3_1__swept__r2/h2_simple.png
proto_sw_3_1__swept__r2,proto_sw_3_1,swept,2,100002,597182601,2971350444,1978891010,1570248508,medium,211,5905,True,True,,,5.199423500002013,5.060871600006067,0.5,0.454225474,6,6,6.0,6.0,1.378271519,1.378271519,0.1415198245,0.1415198245,0.0784817225,0.0784817225,0.41911490907106047,0.41911490907106047,4.5658877527233335,4.5658877527233335,"[0.014133407, 0.135345528, 0.226254619, 0.37776977, 0.650497043, 0.771709164]","[0.014133407, 0.135345528, 0.226254619, 0.37776977, 0.650497043, 0.771709164]",0.846709164,0.846709164,0.090909091,0.090909091,0.033599794701348586,0.033599794701348586,0,0,0,0,0,0,0.03511056492893955,0.03511056492893955,raw_contexts/proto_sw_3_1__swept__r2/old_medium.png,raw_contexts/proto_sw_3_1__swept__r2/h2_medium.png
proto_sw_3_1__swept__r2,proto_sw_3_1,swept,2,100002,597182601,2971350444,1978891010,1570248508,rich,211,5905,True,True,,,5.138366299994232,5.20418829999835,0.8,0.698590042,7,7,7.0,7.0,1.675390355,1.5648842829999998,0.17729985385714284,0.16445452285714285,0.110881571,0.11438621100000002,0.7790652194261638,0.7142481199907484,4.493403135554286,4.49061245614,"[0.014133407, 0.135345528, 0.226254619, 0.34746674, 0.438375831, 0.650497043, 0.771709164]","[0.014133407, 0.135345528, 0.256557649, 0.34746674, 0.438375831, 0.650497043, 0.741406134]",0.846709164,0.816406134,0.08662416900000003,0.08662416900000003,0.06311162895533988,0.07810608860472021,0,0,0,0,0,0,0.08047517742616384,0.015658077990748476,raw_contexts/proto_sw_3_1__swept__r2/old_rich.png,raw_contexts/proto_sw_3_1__swept__r2/h2_rich.png
proto_sw_3_2__expanded__r1,proto_sw_3_2,expanded,1,100001,1352492862,115976003,302128940,1466878623,simple,448,27617,True,True,,,20.564360699994722,20.415376899996772,0.2,0.257196973,5,6,5.0,6.0,1.051921142,1.311639971,0.1132946548,0.11842613433333334,0.13616897099999997,0.07801338716666666,0.13127755598439633,0.3380328504868994,4.059846322598,4.06308297962,"[0.06351624, 0.184728361, 0.305940482, 0.639273816, 0.760485937]","[0.06351624, 0.154425331, 0.215031391, 0.548364725, 0.669576846, 0.790788967]",0.860485937,0.852531391,0.04999999999999993,0.04999999999999993,0.05802202299892202,0.03579610618221516,0,0,0,0,0,0,0.12591941701560366,0.08083587748689941,raw_contexts/proto_sw_3_2__expanded__r1/old_simple.png,raw_contexts/proto_sw_3_2__expanded__r1/h2_simple.png
proto_sw_3_2__expanded__r1,proto_sw_3_2,expanded,1,100001,1352492862,115976003,302128940,1466878623,medium,448,27617,True,True,,,20.79385370000091,20.10864369999763,0.5,0.432435315,6,6,6.0,6.0,1.3089428040000002,1.3089428040000002,0.12835730399999998,0.12835730399999998,0.1714017753333333,0.1714017753333333,0.39978480234620184,0.39978480234620184,4.088109627500001,4.088109627500001,"[0.06351624, 0.184728361, 0.305940482, 0.639273816, 0.730182906, 0.790788967]","[0.06351624, 0.184728361, 0.305940482, 0.639273816, 0.730182906, 0.790788967]",0.860726184,0.860726184,0.04999999999999993,0.04999999999999993,0.0417173458451072,0.0417173458451072,0,0,0,0,0,0,0.03265051265379815,0.03265051265379815,raw_contexts/proto_sw_3_2__expanded__r1/old_medium.png,raw_contexts/proto_sw_3_2__expanded__r1/h2_medium.png
proto_sw_3_2__expanded__r1,proto_sw_3_2,expanded,1,100001,1352492862,115976003,302128940,1466878623,rich,448,27617,True,True,,,18.749504300001718,18.232422699999006,0.8,0.663175067,7,7,7.0,7.0,1.578074374,1.578074374,0.15272355771428572,0.15272355771428572,0.15318524728571428,0.15318524728571428,0.6543183543097602,0.6543183543097602,4.11523392629,4.11523392629,"[0.06351624, 0.184728361, 0.305940482, 0.427152603, 0.578667755, 0.699879876, 0.790788967]","[0.06351624, 0.184728361, 0.305940482, 0.427152603, 0.578667755, 0.699879876, 0.790788967]",0.878787879,0.878787879,0.04999999999999993,0.04999999999999993,0.05802202299892202,0.05802202299892202,0,0,0,0,0,0,0.008856712690239799,0.008856712690239799,raw_contexts/proto_sw_3_2__expanded__r1/old_rich.png,raw_contexts/proto_sw_3_2__expanded__r1/h2_rich.png
proto_sw_3_2__expanded__r2,proto_sw_3_2,expanded,2,100004,1033296627,2761789635,3906224916,1967235406,simple,445,25632,True,True,,,21.261911800000235,21.110817400003725,0.2,0.235811818,5,5,5.0,5.0,1.051343765,1.312116492,0.126550905,0.14783524639999998,0.128494543,0.09837073299999999,0.1237032647559409,0.23024779031083573,4.241037452680195,4.238391017270194,"[0.104433677, 0.225645798, 0.619585192, 0.710494283, 0.801403374]","[0.074130646, 0.225645798, 0.558979131, 0.680191253, 0.801403374]",0.8580663230000001,0.848484848,0.0625,0.0625,0.06203687579275094,0.07574735825636829,0,0,0,0,0,0,0.1121085532440591,0.00556402768916428,raw_contexts/proto_sw_3_2__expanded__r2/old_simple.png,raw_contexts/proto_sw_3_2__expanded__r2/h2_simple.png
proto_sw_3_2__expanded__r2,proto_sw_3_2,expanded,2,100004,1033296627,2761789635,3906224916,1967235406,medium,445,25632,True,True,,,21.587734900000214,20.13908210000227,0.5,0.434289228,6,6,6.0,6.0,1.305612903,1.305612903,0.13288652333333334,0.13288652333333334,0.13972649933333334,0.13972649933333334,0.3834585147266286,0.3834585147266286,4.268069008259528,4.268069008259528,"[0.104433677, 0.225645798, 0.46807004, 0.619585192, 0.710494283, 0.801403374]","[0.104433677, 0.225645798, 0.46807004, 0.619585192, 0.710494283, 0.801403374]",0.8580663230000001,0.8580663230000001,0.0625,0.0625,0.06203687579275094,0.06203687579275094,0,0,0,0,0,0,0.05083071327337141,0.05083071327337141,raw_contexts/proto_sw_3_2__expanded__r2/old_medium.png,raw_contexts/proto_sw_3_2__expanded__r2/h2_medium.png
