pair_id,prototype_id,backbone_variant,density_level,replicate,production_seed,backbone_seed,flower_seed,branch_seed,unit_seed,ordinary_l1_count,stage4_candidate_count,stage4_eligible_candidate_count,conflict_graph_node_count,conflict_graph_edge_count,conflict_graph_pair_penalty_count,old_selection_success,h2_selection_success,old_selection_error,h2_selection_error,upstream_failure,upstream_error,old_runtime_seconds,h2_runtime_seconds,evaluation_input_file,old_render_file,h2_render_file,comparison_sheet
B001,proto_sw_1_1,expanded,simple,1,100013,219390906,2870022712,1575422959,4293595923,4,100,76,100,0,279,True,True,,,,,0.0008698000000322281,0.04185389999997824,raw_cases/B001/evaluation_input.json,raw_cases/B001/method_old_triple.png,raw_cases/B001/method_h2_triple.png,comparison_sheets/B001.png
B002,proto_sw_1_1,expanded,simple,2,100016,558462723,1960094281,1160898339,3061177565,4,100,78,100,0,285,True,True,,,,,0.000879199999985758,0.008082500000000437,raw_cases/B002/evaluation_input.json,raw_cases/B002/method_old_triple.png,raw_cases/B002/method_h2_triple.png,comparison_sheets/B002.png
