pair_id,prototype_id,backbone_variant,density_level,replicate,production_seed,minimum_clearance_required,parallel_soft_limit,parallel_maximum,old_geometry_evaluable,h2_geometry_evaluable,evaluation_error,old_cross_unit_curve_crossing_count,h2_cross_unit_curve_crossing_count,old_periodic_repeat_crossing_count,h2_periodic_repeat_crossing_count,old_minimum_cross_unit_clearance,h2_minimum_cross_unit_clearance,old_clearance_violation_count,h2_clearance_violation_count,old_parallel_hard_violation_count,h2_parallel_hard_violation_count,old_parent_child_attachment_invalid_count,h2_parent_child_attachment_invalid_count,old_hard_violation,h2_hard_violation,old_total_parallel_penalty,h2_total_parallel_penalty,delta_total,relative_total_penalty_reduction,old_peak_parallel_penalty,h2_peak_parallel_penalty,delta_peak,relative_peak_penalty_reduction,old_local_crowding_pair_count,h2_local_crowding_pair_count,old_spatial_bbox_overlap_tendency,h2_spatial_bbox_overlap_tendency,old_occupied_space_balance,h2_occupied_space_balance,old_upgraded_lane_count,h2_upgraded_lane_count,old_selected_L2_count,h2_selected_L2_count,old_L1_only_count,h2_L1_only_count,old_single_L2_unit_count,h2_single_L2_unit_count,old_opposed_pair_unit_count,h2_opposed_pair_unit_count,old_search_node_count,h2_search_node_count,old_backtrack_count,h2_backtrack_count,h2_node_limit_reached,old_runtime_seconds,h2_runtime_seconds
B001,proto_sw_1_1,expanded,simple,1,100013,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.13025855419383658,0.13025855419383658,0,0,0,0,0,0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,0.0,0.5751186158142371,0.8809754836894631,1,1,2,1,3,3,0,1,1,0,,187,,51,,0.0008698000000322281,0.04185389999997824
B002,proto_sw_1_1,expanded,simple,2,100016,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.2299465213980741,0.2299465213980741,0,0,0,0,0,0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,0.0,0.5543252292912784,0.8907645721036213,1,1,2,1,3,3,0,1,1,0,,249,,61,,0.000879199999985758,0.008082500000000437
