case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,l1_generation_success,unit_generation_applicable,unit_generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir
C022,IndependentCurve,proto_sw_1_3,expanded,medium,2,100024,1,1,0,0,,,5,0,5,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium,,,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__baseline_independentcurve,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__baseline_independentcurve__selection,0.03988780000145198,raw_cases/C022/methods/IndependentCurve
C022,FixedSlot,proto_sw_1_3,expanded,medium,2,100024,1,1,1,1,,,5,2,5,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium,,,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__baseline_fixedslot,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,3.6329239000006055,raw_cases/C022/methods/FixedSlot
C022,LocalGreedy,proto_sw_1_3,expanded,medium,2,100024,1,1,1,1,,,5,4,5,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__unit_candidates_v2,b90bb8573b2608688c1f5ffa1419e6241edbb5c98ab08542fa27da78256caa03,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,0.048015500000474276,raw_cases/C022/methods/LocalGreedy
C022,Ours,proto_sw_1_3,expanded,medium,2,100024,1,1,1,1,,,5,2,5,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__unit_candidates_v2,b90bb8573b2608688c1f5ffa1419e6241edbb5c98ab08542fa27da78256caa03,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_1291941794__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b,0.05037190000075498,raw_cases/C022/methods/Ours
C023,IndependentCurve,proto_sw_1_3,expanded,rich,1,100030,1,1,0,0,,,6,0,6,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich,,,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__baseline_independentcurve,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__baseline_independentcurve__selection,0.0420990000020538,raw_cases/C023/methods/IndependentCurve
C023,FixedSlot,proto_sw_1_3,expanded,rich,1,100030,1,1,1,1,,,6,3,6,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich,,,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__baseline_fixedslot,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,7.048716299999796,raw_cases/C023/methods/FixedSlot
C023,LocalGreedy,proto_sw_1_3,expanded,rich,1,100030,1,1,1,1,,,6,3,6,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__unit_candidates_v2,3b22210cdb6a42e5ded9eccf511df2e22c135fc934b25dc50b5fa154e7122bc5,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,0.0468116000010923,raw_cases/C023/methods/LocalGreedy
C023,Ours,proto_sw_1_3,expanded,rich,1,100030,1,1,1,1,,,6,2,6,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__unit_candidates_v2,3b22210cdb6a42e5ded9eccf511df2e22c135fc934b25dc50b5fa154e7122bc5,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b,0.04935019999902579,raw_cases/C023/methods/Ours
C024,IndependentCurve,proto_sw_1_3,expanded,rich,2,100035,1,1,0,0,,,6,0,6,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich,,,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__baseline_independentcurve,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__baseline_independentcurve__selection,0.036764700002095196,raw_cases/C024/methods/IndependentCurve
C024,FixedSlot,proto_sw_1_3,expanded,rich,2,100035,1,1,1,1,,,6,2,6,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich,,,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__baseline_fixedslot,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,11.61133880000125,raw_cases/C024/methods/FixedSlot
