file,pageid,title,source_page,image_url,original_width,original_height,license,artist,description
commons_001_87749268.jpg,87749268,File:Antakya Archaeological Museum Birth of Venus mosaic Border in 2019 15.jpg,https://commons.wikimedia.org/wiki/File:Antakya_Archaeological_Museum_Birth_of_Venus_mosaic_Border_in_2019_15.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Antakya_Archaeological_Museum_Birth_of_Venus_mosaic_Border_in_2019_15.jpg/1280px-Antakya_Archaeological_Museum_Birth_of_Venus_mosaic_Border_in_2019_15.jpg,8471,8724,CC BY-SA 4.0,Dosseman,"This is a large floor mosaic. It is so large that, it being on a floor, I had to correct perspective to a great extent. Although the general impression is precise, the measurements are not: I estimated visually what they would be, and probably made some errors. The borders are somewhat better, because one could walk around them and take pictures from relatively close by.
It was found in a garden during an excavation in 2011. At the outermost border there is a stepped pyramid, and there are various animal figures inside circles made of meandering vines. It the central board the birth of Venus is depicted. She is shown inside an oyster shell, frontally nude. She is surrounded by Eros, freshwater fairies (nereids) and tritons (top part man, rest fish). A smaller board contains geometric ornaments."
commons_002_64267706.jpg,64267706,"File:Border (France), 1800–1830 (CH 18424967).jpg","https://commons.wikimedia.org/wiki/File:Border_(France),_1800%E2%80%931830_(CH_18424967).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Border_%28France%29%2C_1800%E2%80%931830_%28CH_18424967%29.jpg/1280px-Border_%28France%29%2C_1800%E2%80%931830_%28CH_18424967%29.jpg,3000,900,Public domain,Made by Jacquemart &amp; Bénard,"On light brown ground, contiguous circles of green with alternating green grapes and leaves springing the circles to fill their lighter brown centers. Circles interupted by panels with flattened flower patterns in pink. Architectonic border of acanthus above and pointed leaves along bottom in same colorings as major motifs: shaded greens and yellows with black."
commons_003_60871926.jpg,60871926,"File:Border Design from a Classical Frieze, Decorated with Vines and Leaves MET DP804426.jpg","https://commons.wikimedia.org/wiki/File:Border_Design_from_a_Classical_Frieze,_Decorated_with_Vines_and_Leaves_MET_DP804426.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Border_Design_from_a_Classical_Frieze%2C_Decorated_with_Vines_and_Leaves_MET_DP804426.jpg/1280px-Border_Design_from_a_Classical_Frieze%2C_Decorated_with_Vines_and_Leaves_MET_DP804426.jpg,3881,1731,CC0,Thomas Hardwick,Drawing ; Ornament and Architecture; Drawings
commons_004_64368862.jpg,64368862,"File:Border, Jardin d'Hiver, 1851–55 (CH 18402513).jpg","https://commons.wikimedia.org/wiki/File:Border,_Jardin_d%27Hiver,_1851%E2%80%9355_(CH_18402513).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Border%2C_Jardin_d%27Hiver%2C_1851%E2%80%9355_%28CH_18402513%29.jpg/1280px-Border%2C_Jardin_d%27Hiver%2C_1851%E2%80%9355_%28CH_18402513%29.jpg,3000,1189,Public domain,Made by Jules Desfossé,"Stone vase, containing jagged-leaf plant, resting on top of a pedestal, with roses and morning glories twisting around this. This motif alternates horizontally with a cluster of morning glory vines with blossoms at the back of which are leafy branches. Printed in multicolors on white ground."
