"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn06_sina_sheet03_row02_apricot.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","25.887","26","91","0.6408","0.0842","0.1235","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn06_sina_sheet03_row02_apricot.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\057__strict2_A__A20_d01430115_p16_i02_284x111.jpeg","21.7123","24","65","0.6701","0.197","0.1113","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-17-49.png","121.5909","12","39","0.2453","0.1108","0.7474","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","26.8923","28","11","0.2821","0.0111","0.1989","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\057__strict2_A__A20_d01430115_p16_i02_284x111.jpeg","23.6428","30","72","0.5902","0.2182","0.1177","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\015__local_B__Snipaste_2026-04-18_15-50-53.png","22.9442","34","12","0.2222","0.0086","0.1695","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","22.6403","28","24","0.5714","0.0242","0.1484","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","21.222","24","0","0.0","0.0","0.1768","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","34.974","24","5","0.5","0.005","0.264","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\026__strict1_A__A04_thesis_mogao225_row2.png","26.8823","20","5","0.625","0.0024","0.2001","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","22.5673","36","3","0.0","0.0","0.1835","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","20.2215","30","3","0.0","0.0","0.1644","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\026__strict1_A__A04_thesis_mogao225_row2.png","18.5499","26","4","0.6667","0.0022","0.1384","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A16__candidate_161__D01448673_tang_ceiling_pattern_p234_i04_x3007_420x200.png","16.3586","28","6","0.4286","0.0033","0.1235","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","30.8438","26","0","0.0","0.0","0.257","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\030__strict1_A__A08_journal_mogao180.png","26.5241","24","5","0.3571","0.0057","0.2035","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","24.5242","26","2","0.0","0.0","0.201","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\015__local_B__Snipaste_2026-04-18_15-50-53.png","20.8635","34","5","0.5556","0.0136","0.1565","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","16.628","26","0","0.0","0.0","0.1386","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","16.3809","28","0","0.0","0.0","0.1365","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\012__local_A__Snipaste_2026-04-18_15-55-38.png","18.9303","38","0","0.0","0.0","0.1578","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","17.7957","26","0","0.0","0.0","0.1483","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A24__candidate_183__D01448673_tang_ceiling_pattern_p242_i01_x3099_328x89.png","17.3487","30","4","1.0","0.0175","0.1248","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\057__strict2_A__A20_d01430115_p16_i02_284x111.jpeg","29.4411","24","33","0.55","0.1","0.1826","no"
