"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn06_sina_sheet03_row02_apricot.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\035__strict1_B__B05_thesis_mogao217.png","119.9509","26","97","0.7886","0.0897","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn06_sina_sheet03_row02_apricot.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A34__candidate_212__D01448673_tang_ceiling_pattern_p252_i05_x3231_356x106.png","111.5105","28","92","0.5476","0.107","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn06_sina_sheet03_row02_apricot.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","110.5514","26","91","0.6408","0.0842","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","281.7128","30","227","0.8078","0.482","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\090__strict2_B__B22_d01451691_p29_i00_928x152.jpeg","142.7359","24","109","0.6728","0.2535","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A17__candidate_162__D01448673_tang_ceiling_pattern_p236_i00_x3024_282x93.png","141.4764","28","104","0.7704","0.2759","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","192.0897","28","152","0.7136","0.3227","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A17__candidate_162__D01448673_tang_ceiling_pattern_p236_i00_x3024_282x93.png","126.9604","30","95","0.5901","0.252","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\090__strict2_B__B22_d01451691_p29_i00_928x152.jpeg","121.9912","34","94","0.5251","0.2186","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-17-49.png","24.9091","24","4","1.0","0.0114","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\048__strict2_A__A10_d625113_p42_i00_385x118.png","24.5517","30","4","1.0","0.0069","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R10__met_01_plate7_top_vine.png","24.4734","34","4","1.0","0.0059","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\056__strict2_A__A19_d625113_p70_i03_402x73.jpeg","25.3104","30","7","0.875","0.0101","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\020__local_B__Snipaste_2026-04-18_15-56-05.png","25.2226","34","5","1.0","0.0028","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A24__candidate_183__D01448673_tang_ceiling_pattern_p242_i01_x3099_328x89.png","24.7339","34","4","1.0","0.0092","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","30.7787","40","13","0.6842","0.0512","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A21__candidate_175__D01448673_tang_ceiling_pattern_p238_i07_x3056_284x87.png","26.533","32","12","0.6","0.0317","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\056__strict2_A__A19_d625113_p70_i03_402x73.jpeg","26.3901","26","14","0.5385","0.0203","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","24.8672","28","4","1.0","0.0108","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\019__local_B__Snipaste_2026-04-18_15-55-54.png","24.8672","30","4","1.0","0.0108","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\022__local_B__Snipaste_2026-04-18_15-57-40.png","24.8672","30","4","1.0","0.0108","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\020__local_B__Snipaste_2026-04-18_15-56-05.png","25.4035","28","4","1.0","0.0175","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\064__strict2_A__A27_d01430115_p66_i10_248x92.jpeg","25.4035","26","4","1.0","0.0175","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\ChatGPT Image 2026年7月15日 13_39_59.png","25.4035","30","4","1.0","0.0175","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A27__candidate_193__D01448673_tang_ceiling_pattern_p244_i07_x3129_321x116.png","318.6428","30","284","0.7435","0.2472","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","130.3165","32","92","0.467","0.3622","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\007__local_A__Snipaste_2026-04-13_15-54-46.png","90.5439","30","72","0.72","0.0518","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A13__candidate_153__D01448673_tang_ceiling_pattern_p232_i10_x2985_266x52.png","132.2598","36","69","0.7419","0.6053","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","67.57","32","47","0.2883","0.185","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png","58.3211","34","40","0.3077","0.1521","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A26__candidate_190__D01448673_tang_ceiling_pattern_p244_i03_x3125_302x115.png","383.3676","28","338","0.6926","0.3939","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A13__candidate_153__D01448673_tang_ceiling_pattern_p232_i10_x2985_266x52.png","276.909","36","153","0.827","1.3421","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png","134.5219","32","96","0.466","0.365","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A13__candidate_153__D01448673_tang_ceiling_pattern_p232_i10_x2985_266x52.png","218.2704","30","119","0.7881","1.0439","yes"
