"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A31__candidate_201__D01448673_tang_ceiling_pattern_p247_i06_x3165_235x90.png","14.6723","34","55","0.3846","0.1451","0.0812","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","12.1338","34","130","0.6952","0.3385","0.0577","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","12.0706","30","42","0.4941","0.0343","0.0713","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R09__meyer_11_p96_fig7_grape_leaf_interlace.png","12.7454","30","57","0.4385","0.0422","0.0694","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\037__strict1_B__B07_sohu_simple_scroll.jpeg","12.1466","34","11","0.2037","0.0044","0.0906","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A29__candidate_197__D01448673_tang_ceiling_pattern_p246_i05_x3152_357x110.png","11.9677","34","86","0.4322","0.1898","0.058","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R09__meyer_11_p96_fig7_grape_leaf_interlace.png","12.7824","28","17","0.1771","0.0126","0.0915","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A31__candidate_201__D01448673_tang_ceiling_pattern_p247_i06_x3165_235x90.png","12.5186","34","48","0.2981","0.1266","0.0726","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","11.1701","36","46","0.3932","0.0376","0.065","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn04_sina_sheet01_row01_camellia.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","26.2367","36","50","0.7463","0.1302","0.1448","no"
